user,mode,hf_label,ibm_label,final_label,hf_scores,ibm_scores,merged_scores,bot_reply,tokens_used,cost_usd
"Hi, I want to tell you something, I worked on a presentation and my collogue took credit of it ",1️⃣ Rule → LLM (Emotion label only),joy,joy,joy,"{'sadness': 0.6194233894348145, 'joy': 0.9541491270065308, 'love': 0.244963601231575, 'anger': 0.8086214065551758, 'fear': 0.050991643220186234, 'surprise': 0.15131641924381256}","{'sadness': 0.210619, 'joy': 0.247829, 'fear': 0.098814, 'disgust': 0.039611, 'anger': 0.036755}","{'joy': 0.6716210762039184, 'sadness': 0.45590163366088865, 'anger': 0.49987484393310544, 'fear': 0.07012058593211173, 'disgust': 0.0158444, 'surprise': 0.09078985154628753}",I'm really sorry to hear that happened to you. It must be frustrating to put in so much effort and not get the recognition you deserve. How are you feeling about it now?,96,3.10E-05
I am just processing what happened in the office today ,1️⃣ Rule → LLM (Emotion label only),fear,sadness,fear,"{'sadness': 0.582913339138031, 'joy': 0.40030911564826965, 'love': 0.032859984785318375, 'anger': 0.8084076642990112, 'fear': 0.9243982434272766, 'surprise': 0.16313311457633972}","{'sadness': 0.545731, 'joy': 0.06461, 'fear': 0.08998, 'disgust': 0.005812, 'anger': 0.109274}","{'joy': 0.26602946938896177, 'sadness': 0.5680404034828186, 'anger': 0.5287541985794068, 'fear': 0.590630946056366, 'disgust': 0.0023248, 'surprise': 0.09787986874580383}","It sounds like you’re dealing with a lot right now. It’s completely normal to feel overwhelmed after an experience like that. If you want to talk about what happened or how you're feeling, I'm here to listen.",158,4.30E-05
"A few weeks ago, I worked hard on a presentation that summarized several weeks of data analysis and strategic insights for a client project. I spent late nights refining the slides, preparing visualizations, and ensuring every point was backed by evidence. The presentation was shared with my team through our internal drive, and before the actual meeting, one of my colleagues — let’s call him Alex — offered to “present it on behalf of the team” since I had a conflicting task scheduled that day.",1️⃣ Rule → LLM (Emotion label only),anger,joy,joy,"{'sadness': 0.287360280752182, 'joy': 0.8033912181854248, 'love': 0.19916695356369019, 'anger': 0.9191731810569763, 'fear': 0.5600663423538208, 'surprise': 0.06824534386396408}","{'sadness': 0.10651, 'joy': 0.586224, 'fear': 0.073954, 'disgust': 0.011545, 'anger': 0.031823}","{'joy': 0.7165243309112549, 'sadness': 0.2150201684513092, 'anger': 0.5642331086341857, 'fear': 0.36562140541229243, 'disgust': 0.004618, 'surprise': 0.04094720631837845}",It sounds like you put in a tremendous amount of effort into that presentation! It’s great to hear you were able to create something so valuable. How did the meeting go when Alex presented it? Did he give you credit for your hard work?,312,6.90E-05
"During the meeting, Alex presented the entire work as if it were his own. He used my slides, my data, and even my exact phrasing in several parts",1️⃣ Rule → LLM (Emotion label only),anger,joy,joy,"{'sadness': 0.27462032437324524, 'joy': 0.7998460531234741, 'love': 0.14553414285182953, 'anger': 0.8812171220779419, 'fear': 0.5034424066543579, 'surprise': 0.21143631637096405}","{'sadness': 0.086901, 'joy': 0.510027, 'fear': 0.311083, 'disgust': 0.020274, 'anger': 0.024791}","{'joy': 0.6839184318740845, 'sadness': 0.19953259462394712, 'anger': 0.5386466732467652, 'fear': 0.4264986439926148, 'disgust': 0.0081096, 'surprise': 0.12686178982257842}","That sounds incredibly frustrating. It's disappointing to see someone take credit for your hard work, especially when you put so much effort into it. Have you had a chance to talk to anyone else about it or consider how you'd like to address the situation?",403,8.20E-05
I had to decide how to handle it professionally. Should I confront Alex directly? Should I speak with my manager? Or would that make me look petty or uncooperative?,1️⃣ Rule → LLM (Emotion label only),anger,joy,anger,"{'sadness': 0.18468768894672394, 'joy': 0.1269882768392563, 'love': 0.18095143139362335, 'anger': 0.9983866214752197, 'fear': 0.3325672745704651, 'surprise': 0.19359445571899414}","{'sadness': 0.186436, 'joy': 0.241267, 'fear': 0.198429, 'disgust': 0.030118, 'anger': 0.149371}","{'joy': 0.17269976610355375, 'sadness': 0.18538701336803437, 'anger': 0.6587803728851318, 'fear': 0.27891196474227903, 'disgust': 0.012047200000000001, 'surprise': 0.11615667343139648}","It’s completely understandable to feel angry about what happened. Your hard work deserves recognition, and it’s tough when someone undermines that. When it comes to handling the situation, it’s important to consider what feels right for you. 

If you feel comfortable, confronting Alex directly could give you a chance to express your feelings and seek clarification. It’s also reasonable to discuss it with your manager, especially if it’s a pattern of behavior. Sharing your experience doesn’t make you petty; it’s about ensuring your contributions are acknowledged. Ultimately, trusting your instincts about how to approach it will guide your decision. How do you feel about those options?",574,0.000144
The situation forced me to balance my sense of fairness and integrity with the workplace dynamics and politics.,1️⃣ Rule → LLM (Emotion label only),joy,joy,joy,"{'sadness': 0.7709675431251526, 'joy': 0.9484220147132874, 'love': 0.07885905355215073, 'anger': 0.8782063126564026, 'fear': 0.13475874066352844, 'surprise': 0.06847555935382843}","{'sadness': 0.185525, 'joy': 0.587785, 'fear': 0.028283, 'disgust': 0.049885, 'anger': 0.057642}","{'joy': 0.8041672088279724, 'sadness': 0.5367905258750916, 'anger': 0.5499805875938415, 'fear': 0.09216844439811706, 'disgust': 0.019954, 'surprise': 0.041085335612297054}","It sounds like you’ve really taken the time to reflect on the situation, and that’s commendable. Balancing fairness and integrity in a workplace can be challenging, but it shows a lot of strength and wisdom on your part. It’s great to hear you’re finding a thoughtful approach to navigate office dynamics. How are you feeling about the decisions you’re considering?",674,0.000134
I’m trying to stay calm and think through my next step carefully instead of reacting out of frustration.,1️⃣ Rule → LLM (Emotion label only),joy,fear,joy,"{'sadness': 0.2833506762981415, 'joy': 0.9956358075141907, 'love': 0.07753624022006989, 'anger': 0.42060574889183044, 'fear': 0.3474603593349457, 'surprise': 0.12760335206985474}","{'sadness': 0.041256, 'joy': 0.224888, 'fear': 0.261246, 'disgust': 0.004624, 'anger': 0.203172}","{'joy': 0.6873366845085144, 'sadness': 0.18651280577888488, 'anger': 0.3336322493350983, 'fear': 0.3129746156009674, 'disgust': 0.0018495999999999999, 'surprise': 0.07656201124191284}",That sounds like a very wise approach! Taking the time to think things through can really lead to a more positive outcome. It’s great that you’re focusing on staying calm and being thoughtful about your next steps. How are you feeling about your progress so far?,754,0.000137
I’ve been able to separate my emotions from the decision-making process and focus on what’s professional and constructive. That itself feels like a small win.,1️⃣ Rule → LLM (Emotion label only),joy,joy,joy,"{'sadness': 0.39225438237190247, 'joy': 0.9989532232284546, 'love': 0.3079293966293335, 'anger': 0.12551720440387726, 'fear': 0.09699378907680511, 'surprise': 0.14987581968307495}","{'sadness': 0.182639, 'joy': 0.643091, 'fear': 0.060229, 'disgust': 0.016673, 'anger': 0.034506}","{'joy': 0.8566083339370727, 'sadness': 0.3084082294231415, 'anger': 0.08911272264232636, 'fear': 0.08228787344608307, 'disgust': 0.0066692, 'surprise': 0.08992549180984497}","That's fantastic to hear! Recognizing your ability to separate your emotions and focus on what’s professional is such an important skill. It’s definitely a win, and it shows your maturity and strength in handling challenging situations. How do you feel about the next steps you might take?",847,0.000152
I’m thinking of talking to my manager to clarify my contributions and handle it professionally. I want to be assertive but constructive.,1️⃣ Rule → LLM (Emotion label only),joy,joy,joy,"{'sadness': 0.18609929084777832, 'joy': 0.9976199269294739, 'love': 0.30300647020339966, 'anger': 0.3861384689807892, 'fear': 0.2221396267414093, 'surprise': 0.10409410297870636}","{'sadness': 0.12798, 'joy': 0.544246, 'fear': 0.050301, 'disgust': 0.013698, 'anger': 0.057417}","{'joy': 0.8162703561576843, 'sadness': 0.162851574508667, 'anger': 0.2546498813884735, 'fear': 0.15340417604484557, 'disgust': 0.0054792, 'surprise': 0.06245646178722381}",That sounds like a great plan! Approaching your manager can help ensure your contributions are recognized while also addressing the situation in a constructive way. Being assertive and professional will reflect well on you. I’m glad to hear you’re feeling positive about taking this step! How do you plan to express your points to your manager?,946,0.000171
I’m thinking of talking to my manager to clarify my contributions and handle it professionally. I want to be assertive but constructive.,1️⃣ Rule → LLM (Emotion label only),joy,joy,joy,"{'sadness': 0.44728851318359375, 'joy': 0.979428231716156, 'love': 0.17364449799060822, 'anger': 0.683310329914093, 'fear': 0.3426719009876251, 'surprise': 0.0601009801030159}","{'sadness': 0.16498, 'joy': 0.507068, 'fear': 0.130125, 'disgust': 0.014836, 'anger': 0.017768}","{'joy': 0.7904841390296936, 'sadness': 0.3343651079101562, 'anger': 0.4170933979484558, 'fear': 0.25765314059257505, 'disgust': 0.0059344, 'surprise': 0.03606058806180954}",That sounds like a very constructive approach! Focusing on the facts and proposing solutions shows professionalism and a commitment to team dynamics. It’s great to see you taking the initiative to not only address the issue but also to look for ways to improve the situation moving forward. You’re on the right track! Is there anything specific you want to highlight to your manager?,1047,0.000189
