turn,user,mode,hf_label,ibm_label,final_label,hf_scores,ibm_scores,merged_scores,bot_reply,tokens_used,cost_usd,response_length
1,I got some scary health news today. The doctor found something in my blood work that they want to investigate further.,1️⃣ Rule → LLM (Emotion label only),fear,fear,fear,"{'sadness': 0.07638297230005264, 'joy': 0.2935773432254791, 'love': 0.09422733634710312, 'anger': 0.8850648999214172, 'fear': 0.9850572943687439, 'surprise': 0.27766603231430054}","{'sadness': 0.103167, 'joy': 0.040222, 'fear': 0.736983, 'disgust': 0.014674, 'anger': 0.081942}","{'joy': 0.19223520593528748, 'sadness': 0.08709658338003158, 'anger': 0.5638157399528504, 'fear': 0.8858275766212464, 'disgust': 0.0058696, 'surprise': 0.1665996193885803}",I'm really sorry to hear that you're facing this. It's completely normal to feel scared when you receive news like this. Do you want to talk about it more? I'm here to listen and support you through this.,102,3.4e-05,38
2,They're calling it a concern but won't tell me much until we do more tests. I hate this uncertainty.,1️⃣ Rule → LLM (Emotion label only),anger,sadness,anger,"{'sadness': 0.823458194732666, 'joy': 0.12241856753826141, 'love': 0.05007678270339966, 'anger': 0.9801116585731506, 'fear': 0.8298330307006836, 'surprise': 0.044064391404390335}","{'sadness': 0.269, 'joy': 0.006895, 'fear': 0.232628, 'disgust': 0.034985, 'anger': 0.209478}","{'joy': 0.07620914052295684, 'sadness': 0.6016749168395996, 'anger': 0.6718581951438904, 'fear': 0.5909510184204101, 'disgust': 0.013994000000000001, 'surprise': 0.0264386348426342}","I can understand why you feel angry. Uncertainty can be incredibly frustrating, especially when it comes to your health. It’s tough to be left in the dark like that. If you want to talk about it more or share what you’re feeling, I'm here for you.",186,5.3e-05,46
3,"I've been trying to stay calm, but my mind keeps going to worst-case scenarios. What if it's something serious?",1️⃣ Rule → LLM (Emotion label only),joy,sadness,joy,"{'sadness': 0.2368125468492508, 'joy': 0.9924415349960327, 'love': 0.07913097739219666, 'anger': 0.44340261816978455, 'fear': 0.5076064467430115, 'surprise': 0.14791470766067505}","{'sadness': 0.355336, 'joy': 0.099913, 'fear': 0.235241, 'disgust': 0.027814, 'anger': 0.077992}","{'joy': 0.6354301209976196, 'sadness': 0.2842219281095505, 'anger': 0.2972383709018707, 'fear': 0.3986602680458069, 'disgust': 0.0111256, 'surprise': 0.08874882459640503}","It's completely understandable to feel that way. Our minds often jump to the worst-case scenarios, especially when we're faced with uncertainty. Try to remember that not everything we fear turns out to be the case. Focusing on staying calm and taking it one step at a time can really help. You're doing your best in a tough situation, and it's okay to seek support and talk about your worries.",295,7.9e-05,69
4,The doctor mentioned scheduling a biopsy. Just hearing that word made everything feel real.,1️⃣ Rule → LLM (Emotion label only),joy,sadness,joy,"{'sadness': 0.2216036170721054, 'joy': 0.9981508851051331, 'love': 0.14072979986667633, 'anger': 0.08976034820079803, 'fear': 0.2112198919057846, 'surprise': 0.46252939105033875}","{'sadness': 0.456445, 'joy': 0.114433, 'fear': 0.33624, 'disgust': 0.038701, 'anger': 0.048928}","{'joy': 0.6446637310630797, 'sadness': 0.31554017024326325, 'anger': 0.07342740892047882, 'fear': 0.26122793514347076, 'disgust': 0.0154804, 'surprise': 0.27751763463020324}","It’s completely normal for things to feel more real when you hear specific terms like “biopsy.” That can bring up a mix of emotions. It’s a step toward understanding what’s going on, and while it might feel daunting, it also means you’re moving forward in the process. Remember, you’re not alone in this—there are people who want to help you through it. How are you feeling about taking this next step?",407,0.000101,71
5,I haven't told my family yet. I don't want to worry them until I know more. But keeping this secret is killing me.,1️⃣ Rule → LLM (Emotion label only),fear,sadness,fear,"{'sadness': 0.4943191707134247, 'joy': 0.47889524698257446, 'love': 0.07636428624391556, 'anger': 0.8774533867835999, 'fear': 0.9132089614868164, 'surprise': 0.06631382554769516}","{'sadness': 0.427632, 'joy': 0.028834, 'fear': 0.418338, 'disgust': 0.02557, 'anger': 0.110076}","{'joy': 0.2988707481895446, 'sadness': 0.4676443024280548, 'anger': 0.5705024320701599, 'fear': 0.7152605768920899, 'disgust': 0.010228000000000001, 'surprise': 0.03978829532861709}","I can understand why you feel conflicted about keeping this to yourself. It's tough to balance wanting to protect your family from worry with the weight of what you’re going through. It might help to talk to someone you trust or find a safe way to express your feelings, even if it’s just for yourself. Remember, you don’t have to go through this alone, and sharing your concerns can sometimes lighten the emotional load. How do you think you might feel about talking to someone soon?",539,0.000125,86
6,"I keep googling my symptoms, which I know I shouldn't do. But I can't help it. Every result is terrifying.",1️⃣ Rule → LLM (Emotion label only),fear,sadness,fear,"{'sadness': 0.07957601547241211, 'joy': 0.3809836208820343, 'love': 0.09795159101486206, 'anger': 0.5421597361564636, 'fear': 0.9936662316322327, 'surprise': 0.48265501856803894}","{'sadness': 0.483468, 'joy': 0.020005, 'fear': 0.421634, 'disgust': 0.021488, 'anger': 0.054771}","{'joy': 0.23659217252922057, 'sadness': 0.24113280928344727, 'anger': 0.34720424169387815, 'fear': 0.7648533389793395, 'disgust': 0.0085952, 'surprise': 0.28959301114082336}","It’s so common to turn to Google when you’re feeling anxious about health concerns, but I completely understand how that can lead to even more fear. Those results can often be overwhelming and misleading. It might be more helpful to focus on the information your doctor provides and wait for the tests to give you clearer answers. It’s hard to resist the urge to search for information, but try to be gentle with yourself during this time. Would it be helpful to talk about what you’re finding, or maybe find some strategies to distract yourself?",679,0.00015,95
7,"Some days I convince myself it's nothing. Like, I feel fine, so it must be a false alarm, right?",1️⃣ Rule → LLM (Emotion label only),joy,joy,joy,"{'sadness': 0.3450636863708496, 'joy': 0.9988811612129211, 'love': 0.1781781017780304, 'anger': 0.12008475512266159, 'fear': 0.18784752488136292, 'surprise': 0.20644301176071167}","{'sadness': 0.138825, 'joy': 0.329441, 'fear': 0.287244, 'disgust': 0.016565, 'anger': 0.100206}","{'joy': 0.7311050967277527, 'sadness': 0.2625682118225098, 'anger': 0.11213325307359695, 'fear': 0.22760611492881774, 'disgust': 0.006626, 'surprise': 0.123865807056427}","It's great to hear that you can find moments of hope and positivity! Feeling fine is definitely a good sign, and it’s completely okay to hold onto that optimism. It’s a healthy way to cope with uncertainty. Focusing on the positive aspects of your health can help you manage stress in this waiting period. Just remember to take care of yourself emotionally too. If you're feeling good today, maybe doing something you love can help keep that positive vibe going!",802,0.000161,80
8,But then other days I'm convinced the worst is happening. I swing between denial and panic.,1️⃣ Rule → LLM (Emotion label only),joy,sadness,joy,"{'sadness': 0.24187949299812317, 'joy': 0.994422972202301, 'love': 0.07090943306684494, 'anger': 0.20623145997524261, 'fear': 0.6153116822242737, 'surprise': 0.21303565800189972}","{'sadness': 0.427842, 'joy': 0.008257, 'fear': 0.416417, 'disgust': 0.054192, 'anger': 0.106759}","{'joy': 0.5999565833213807, 'sadness': 0.3162644957988739, 'anger': 0.16644247598514555, 'fear': 0.5357538093345642, 'disgust': 0.0216768, 'surprise': 0.12782139480113983}","It’s completely normal to have those swings between feeling hopeful and feeling anxious. Dealing with uncertainty can bring up such a wide range of emotions, and it’s okay to feel both joy and fear at different times. Allowing yourself to feel those emotions—without judgment—can be really helpful. Remember, it's all part of the process. How about finding some small moments each day to remind yourself of the positive aspects of your life? It might help to balance out those feelings when they become overwhelming.",928,0.000184,84
9,I called in sick to work today because I couldn't face anyone. I just needed to be alone with my thoughts.,1️⃣ Rule → LLM (Emotion label only),sadness,sadness,sadness,"{'sadness': 0.9963617920875549, 'joy': 0.1365620344877243, 'love': 0.06731382757425308, 'anger': 0.7902613878250122, 'fear': 0.5262089371681213, 'surprise': 0.06534130871295929}","{'sadness': 0.428333, 'joy': 0.262395, 'fear': 0.235587, 'disgust': 0.047855, 'anger': 0.0818}","{'joy': 0.1868952206926346, 'sadness': 0.769150275252533, 'anger': 0.5068768326950073, 'fear': 0.4099601623008728, 'disgust': 0.019142000000000003, 'surprise': 0.039204785227775575}","I'm really sorry to hear that you're feeling this way. It's completely okay to take a step back and care for yourself when you're going through such a tough time. Sometimes, being alone with your thoughts can provide a little clarity, even if it feels heavy right now. Is there anything specific on your mind that you’d like to talk about, or anything you think might help you feel a little better today? I'm here for you.",1045,0.000195,77
10,My appointment for the biopsy is in two weeks. Two weeks feels like forever.,1️⃣ Rule → LLM (Emotion label only),joy,sadness,joy,"{'sadness': 0.5792976021766663, 'joy': 0.9968060255050659, 'love': 0.5536677837371826, 'anger': 0.10251264274120331, 'fear': 0.09182193130254745, 'surprise': 0.1534598171710968}","{'sadness': 0.298192, 'joy': 0.1685, 'fear': 0.291281, 'disgust': 0.01242, 'anger': 0.071329}","{'joy': 0.6654836153030396, 'sadness': 0.46685536130599975, 'anger': 0.09003918564472199, 'fear': 0.1716055587815285, 'disgust': 0.004968, 'surprise': 0.09207589030265807}","I can understand why two weeks feels like a long time right now. It’s normal to feel that way when you're waiting for answers. In the meantime, maybe you can find little ways to take care of yourself and distract your mind? Whether it’s enjoying a hobby, spending time with friends, or just treating yourself to something nice, those little joys can help make the wait feel a bit more manageable. How are you planning to spend the next couple of weeks?",1162,0.000216,82
