turn,user,mode,hf_label,ibm_label,final_label,hf_scores,ibm_scores,merged_scores,bot_reply,tokens_used,cost_usd,response_length
1,I got some scary health news today. The doctor found something in my blood work that they want to investigate further.,2️⃣ Array → LLM (Full emotion vector),fear,fear,fear,"{'sadness': 0.07638297230005264, 'joy': 0.2935773432254791, 'love': 0.09422733634710312, 'anger': 0.8850648999214172, 'fear': 0.9850572943687439, 'surprise': 0.27766603231430054}","{'sadness': 0.103167, 'joy': 0.040222, 'fear': 0.736983, 'disgust': 0.014674, 'anger': 0.081942}","{'joy': 0.19223520593528748, 'sadness': 0.08709658338003158, 'anger': 0.5638157399528504, 'fear': 0.8858275766212464, 'disgust': 0.0058696, 'surprise': 0.1665996193885803}","I'm really sorry to hear that you're facing such unsettling news. It's completely understandable to feel scared and overwhelmed when it comes to health concerns. Waiting for more information can be incredibly tough. Please know that you're not alone in this; it's okay to feel how you're feeling right now. If you’d like to talk more about it or share what you're going through, I’m here to listen.",182,6.2e-05,68
2,They're calling it a concern but won't tell me much until we do more tests. I hate this uncertainty.,2️⃣ Array → LLM (Full emotion vector),anger,sadness,anger,"{'sadness': 0.823458194732666, 'joy': 0.12241856753826141, 'love': 0.05007678270339966, 'anger': 0.9801116585731506, 'fear': 0.8298330307006836, 'surprise': 0.044064391404390335}","{'sadness': 0.269, 'joy': 0.006895, 'fear': 0.232628, 'disgust': 0.034985, 'anger': 0.209478}","{'joy': 0.07620914052295684, 'sadness': 0.6016749168395996, 'anger': 0.6718581951438904, 'fear': 0.5909510184204101, 'disgust': 0.013994000000000001, 'surprise': 0.0264386348426342}","I can really understand why you feel this way. Uncertainty can be incredibly unsettling, especially when it comes to your health. It’s frustrating to feel like you’re in the dark and waiting for answers. It’s completely natural to feel angry, scared, and sad about the situation. If you want to talk more about what you’re experiencing or any specific worries you have, I’m here for you. You're not alone in this.",298,8.4e-05,71
3,"I've been trying to stay calm, but my mind keeps going to worst-case scenarios. What if it's something serious?",2️⃣ Array → LLM (Full emotion vector),joy,sadness,joy,"{'sadness': 0.2368125468492508, 'joy': 0.9924415349960327, 'love': 0.07913097739219666, 'anger': 0.44340261816978455, 'fear': 0.5076064467430115, 'surprise': 0.14791470766067505}","{'sadness': 0.355336, 'joy': 0.099913, 'fear': 0.235241, 'disgust': 0.027814, 'anger': 0.077992}","{'joy': 0.6354301209976196, 'sadness': 0.2842219281095505, 'anger': 0.2972383709018707, 'fear': 0.3986602680458069, 'disgust': 0.0111256, 'surprise': 0.08874882459640503}","It's completely understandable to have your mind jump to worst-case scenarios, especially when you're facing uncertainty like this. It can be really hard to stay calm when fears are swirling around in your head. Remember, though, that many health concerns can turn out to be less serious than we initially fear. It's okay to acknowledge those worries, but try to take things one step at a time. Focusing on what you can control, like preparing for the next steps and staying informed, might help ease some of that anxiety. I'm here for you through this, so feel free to share whatever you're feeling.",447,0.00012,103
4,The doctor mentioned scheduling a biopsy. Just hearing that word made everything feel real.,2️⃣ Array → LLM (Full emotion vector),joy,sadness,joy,"{'sadness': 0.2216036170721054, 'joy': 0.9981508851051331, 'love': 0.14072979986667633, 'anger': 0.08976034820079803, 'fear': 0.2112198919057846, 'surprise': 0.46252939105033875}","{'sadness': 0.456445, 'joy': 0.114433, 'fear': 0.33624, 'disgust': 0.038701, 'anger': 0.048928}","{'joy': 0.6446637310630797, 'sadness': 0.31554017024326325, 'anger': 0.07342740892047882, 'fear': 0.26122793514347076, 'disgust': 0.0154804, 'surprise': 0.27751763463020324}","I can see how hearing the word ""biopsy"" would make everything feel more intense and real. It’s a big step, and it’s completely normal to feel a mix of emotions right now. This uncertainty can feel overwhelming, and it's natural to have fears about what this might mean. Just know that you're not alone in this, and taking things one step at a time can sometimes help. If you want to share what’s going through your mind or how you’re feeling about this next step, I’m here to listen.",577,0.000134,89
5,I haven't told my family yet. I don't want to worry them until I know more. But keeping this secret is killing me.,2️⃣ Array → LLM (Full emotion vector),fear,sadness,fear,"{'sadness': 0.4943191707134247, 'joy': 0.47889524698257446, 'love': 0.07636428624391556, 'anger': 0.8774533867835999, 'fear': 0.9132089614868164, 'surprise': 0.06631382554769516}","{'sadness': 0.427632, 'joy': 0.028834, 'fear': 0.418338, 'disgust': 0.02557, 'anger': 0.110076}","{'joy': 0.2988707481895446, 'sadness': 0.4676443024280548, 'anger': 0.5705024320701599, 'fear': 0.7152605768920899, 'disgust': 0.010228000000000001, 'surprise': 0.03978829532861709}","It sounds like you’re carrying a heavy burden right now, and I can only imagine how hard it must be to keep this to yourself. You’re facing so much uncertainty, and wanting to protect your family from worry makes complete sense. At the same time, holding it all in can be really tough and isolating. It’s okay to feel conflicted about whether to share this with them. If you ever decide to talk to someone, it might help to have a supportive ear while you navigate this. Remember, your feelings are valid, and you don’t have to go through this alone. If you’d like to talk more about it or explore your thoughts on sharing with your family, I’m here for you.",755,0.000178,122
6,"I keep googling my symptoms, which I know I shouldn't do. But I can't help it. Every result is terrifying.",2️⃣ Array → LLM (Full emotion vector),fear,sadness,fear,"{'sadness': 0.07957601547241211, 'joy': 0.3809836208820343, 'love': 0.09795159101486206, 'anger': 0.5421597361564636, 'fear': 0.9936662316322327, 'surprise': 0.48265501856803894}","{'sadness': 0.483468, 'joy': 0.020005, 'fear': 0.421634, 'disgust': 0.021488, 'anger': 0.054771}","{'joy': 0.23659217252922057, 'sadness': 0.24113280928344727, 'anger': 0.34720424169387815, 'fear': 0.7648533389793395, 'disgust': 0.0085952, 'surprise': 0.28959301114082336}","It’s completely understandable that you’re turning to Google for answers, even though you know it might not be the best idea. The fear and uncertainty you’re feeling can make it really hard not to seek out information, even if it often leads to anxiety and scary thoughts. It’s normal to want to understand what’s happening, especially when you’re dealing with something like this. Just remember that online information can sometimes be misleading and don’t always reflect your unique situation. You’re coping with a lot right now, and it’s okay to feel this way. If you want to talk about what you’ve found or how you’re feeling, I’m here to listen and support you through it.",926,0.000201,115
7,"Some days I convince myself it's nothing. Like, I feel fine, so it must be a false alarm, right?",2️⃣ Array → LLM (Full emotion vector),joy,joy,joy,"{'sadness': 0.3450636863708496, 'joy': 0.9988811612129211, 'love': 0.1781781017780304, 'anger': 0.12008475512266159, 'fear': 0.18784752488136292, 'surprise': 0.20644301176071167}","{'sadness': 0.138825, 'joy': 0.329441, 'fear': 0.287244, 'disgust': 0.016565, 'anger': 0.100206}","{'joy': 0.7311050967277527, 'sadness': 0.2625682118225098, 'anger': 0.11213325307359695, 'fear': 0.22760611492881774, 'disgust': 0.006626, 'surprise': 0.123865807056427}","It’s really great that you can take those moments to convince yourself that it might be nothing. Feeling fine can definitely give you some hope and help you cope with the uncertainty. It’s perfectly normal to have those ups and downs, where you feel more optimistic one day and then worry the next. Staying positive can be a powerful tool while you navigate this situation. Just remember, it’s okay to acknowledge both the hope and the fear; they can coexist as you wait for more information. If you want to explore those feelings further, I’m here for you!",1070,0.000211,98
8,But then other days I'm convinced the worst is happening. I swing between denial and panic.,2️⃣ Array → LLM (Full emotion vector),joy,sadness,joy,"{'sadness': 0.24187949299812317, 'joy': 0.994422972202301, 'love': 0.07090943306684494, 'anger': 0.20623145997524261, 'fear': 0.6153116822242737, 'surprise': 0.21303565800189972}","{'sadness': 0.427842, 'joy': 0.008257, 'fear': 0.416417, 'disgust': 0.054192, 'anger': 0.106759}","{'joy': 0.5999565833213807, 'sadness': 0.3162644957988739, 'anger': 0.16644247598514555, 'fear': 0.5357538093345642, 'disgust': 0.0216768, 'surprise': 0.12782139480113983}","It’s completely understandable to feel that way. Those swings between denial and panic can be so exhausting. One moment you might find a glimmer of hope, and the next, fear rushes in. It’s a normal response to uncertainty, especially when it comes to something as serious as your health. Acknowledging both the moments of calm and the moments of panic is important. Remember, it's okay to ride that emotional wave and give yourself grace during this challenging time. If you want to talk more about what you’re experiencing, I'm here to support you.",1208,0.000232,93
9,I called in sick to work today because I couldn't face anyone. I just needed to be alone with my thoughts.,2️⃣ Array → LLM (Full emotion vector),sadness,sadness,sadness,"{'sadness': 0.9963617920875549, 'joy': 0.1365620344877243, 'love': 0.06731382757425308, 'anger': 0.7902613878250122, 'fear': 0.5262089371681213, 'surprise': 0.06534130871295929}","{'sadness': 0.428333, 'joy': 0.262395, 'fear': 0.235587, 'disgust': 0.047855, 'anger': 0.0818}","{'joy': 0.1868952206926346, 'sadness': 0.769150275252533, 'anger': 0.5068768326950073, 'fear': 0.4099601623008728, 'disgust': 0.019142000000000003, 'surprise': 0.039204785227775575}","I'm really sorry to hear that you’re feeling this way. It sounds like you needed some time to yourself, and that’s completely understandable given everything you’re going through. It’s okay to need space to process your thoughts and emotions. Taking a day for yourself can be a vital step in coping with stress and uncertainty. If you want to share more about what you're feeling or how you're coping, I'm here for you. You don’t have to face this alone.",1332,0.000242,80
10,My appointment for the biopsy is in two weeks. Two weeks feels like forever.,2️⃣ Array → LLM (Full emotion vector),joy,sadness,joy,"{'sadness': 0.5792976021766663, 'joy': 0.9968060255050659, 'love': 0.5536677837371826, 'anger': 0.10251264274120331, 'fear': 0.09182193130254745, 'surprise': 0.1534598171710968}","{'sadness': 0.298192, 'joy': 0.1685, 'fear': 0.291281, 'disgust': 0.01242, 'anger': 0.071329}","{'joy': 0.6654836153030396, 'sadness': 0.46685536130599975, 'anger': 0.09003918564472199, 'fear': 0.1716055587815285, 'disgust': 0.004968, 'surprise': 0.09207589030265807}","I can understand how two weeks can feel like an eternity when you’re waiting for something so important. It’s a long time to hold onto uncertainty, and it’s natural to feel a mix of emotions as you approach that day. Finding ways to occupy your mind during that wait, whether it’s through activities, hobbies, or spending time with supportive people, might help ease some of that anxiety. Just know that it’s okay to feel however you’re feeling in the meantime. If you want to talk about how you’re coping or anything else on your mind, I’m here for you.",1474,0.000274,99
