turn,user,mode,hf_label,ibm_label,final_label,hf_scores,ibm_scores,merged_scores,bot_reply,tokens_used,cost_usd,response_length
1,I got some scary health news today. The doctor found something in my blood work that they want to investigate further.,3️⃣ LLM Only (No rule-based input),fear,fear,fear,"{'sadness': 0.07638297230005264, 'joy': 0.2935773432254791, 'love': 0.09422733634710312, 'anger': 0.8850648999214172, 'fear': 0.9850572943687439, 'surprise': 0.27766603231430054}","{'sadness': 0.103167, 'joy': 0.040222, 'fear': 0.736983, 'disgust': 0.014674, 'anger': 0.081942}","{'joy': 0.19223520593528748, 'sadness': 0.08709658338003158, 'anger': 0.5638157399528504, 'fear': 0.8858275766212464, 'disgust': 0.0058696, 'surprise': 0.1665996193885803}","I’m really sorry to hear that you received unsettling news about your health. It’s completely understandable to feel anxious or worried in this situation. If you’d like to talk more about it or share your feelings, I’m here to listen and support you.",105,3.9e-05,43
2,They're calling it a concern but won't tell me much until we do more tests. I hate this uncertainty.,3️⃣ LLM Only (No rule-based input),anger,sadness,anger,"{'sadness': 0.823458194732666, 'joy': 0.12241856753826141, 'love': 0.05007678270339966, 'anger': 0.9801116585731506, 'fear': 0.8298330307006836, 'surprise': 0.044064391404390335}","{'sadness': 0.269, 'joy': 0.006895, 'fear': 0.232628, 'disgust': 0.034985, 'anger': 0.209478}","{'joy': 0.07620914052295684, 'sadness': 0.6016749168395996, 'anger': 0.6718581951438904, 'fear': 0.5909510184204101, 'disgust': 0.013994000000000001, 'surprise': 0.0264386348426342}","I can understand how frustrating and unsettling it must be to deal with uncertainty like this. It’s natural to feel anxious when you’re waiting for more information. If you need to talk about your feelings or if there's anything specific on your mind, I'm here to help you through this.",190,5.4e-05,50
3,"I've been trying to stay calm, but my mind keeps going to worst-case scenarios. What if it's something serious?",3️⃣ LLM Only (No rule-based input),joy,sadness,joy,"{'sadness': 0.2368125468492508, 'joy': 0.9924415349960327, 'love': 0.07913097739219666, 'anger': 0.44340261816978455, 'fear': 0.5076064467430115, 'surprise': 0.14791470766067505}","{'sadness': 0.355336, 'joy': 0.099913, 'fear': 0.235241, 'disgust': 0.027814, 'anger': 0.077992}","{'joy': 0.6354301209976196, 'sadness': 0.2842219281095505, 'anger': 0.2972383709018707, 'fear': 0.3986602680458069, 'disgust': 0.0111256, 'surprise': 0.08874882459640503}","It's completely understandable to have those thoughts, especially in a situation filled with uncertainty. Worrying about worst-case scenarios is a natural response, but it can be really overwhelming. Try to remind yourself that many health concerns can have a range of possibilities, and not everything is as serious as it may seem. It’s okay to feel scared, and you’re not alone in this. Talking things through can sometimes help ease those worries. Would you like to discuss your concerns more?",316,9e-05,80
4,The doctor mentioned scheduling a biopsy. Just hearing that word made everything feel real.,3️⃣ LLM Only (No rule-based input),joy,sadness,joy,"{'sadness': 0.2216036170721054, 'joy': 0.9981508851051331, 'love': 0.14072979986667633, 'anger': 0.08976034820079803, 'fear': 0.2112198919057846, 'surprise': 0.46252939105033875}","{'sadness': 0.456445, 'joy': 0.114433, 'fear': 0.33624, 'disgust': 0.038701, 'anger': 0.048928}","{'joy': 0.6446637310630797, 'sadness': 0.31554017024326325, 'anger': 0.07342740892047882, 'fear': 0.26122793514347076, 'disgust': 0.0154804, 'surprise': 0.27751763463020324}","I can hear how unsettling that must have felt for you. A biopsy can bring up a lot of intense emotions, and it’s normal to feel a sense of reality sinking in. This signifies that the medical team is taking your situation seriously, and while it might be nerve-wracking, it can provide important information. It’s okay to feel scared, and it’s important to allow yourself to process those feelings. If you want to talk more about it or share your thoughts, I'm here for you.",441,0.000112,85
5,I haven't told my family yet. I don't want to worry them until I know more. But keeping this secret is killing me.,3️⃣ LLM Only (No rule-based input),fear,sadness,fear,"{'sadness': 0.4943191707134247, 'joy': 0.47889524698257446, 'love': 0.07636428624391556, 'anger': 0.8774533867835999, 'fear': 0.9132089614868164, 'surprise': 0.06631382554769516}","{'sadness': 0.427632, 'joy': 0.028834, 'fear': 0.418338, 'disgust': 0.02557, 'anger': 0.110076}","{'joy': 0.2988707481895446, 'sadness': 0.4676443024280548, 'anger': 0.5705024320701599, 'fear': 0.7152605768920899, 'disgust': 0.010228000000000001, 'surprise': 0.03978829532861709}","It sounds like you’re feeling a heavy burden by keeping this to yourself. It’s understandable that you want to protect your family from worry, but holding it all in can be really tough. Sharing your feelings with someone you trust might help relieve some of that weight. If you decide to talk to your family later on, it might bring you some comfort knowing they’re there for you. I’m here to listen if you want to express more about how you’re feeling.",569,0.000128,82
6,"I keep googling my symptoms, which I know I shouldn't do. But I can't help it. Every result is terrifying.",3️⃣ LLM Only (No rule-based input),fear,sadness,fear,"{'sadness': 0.07957601547241211, 'joy': 0.3809836208820343, 'love': 0.09795159101486206, 'anger': 0.5421597361564636, 'fear': 0.9936662316322327, 'surprise': 0.48265501856803894}","{'sadness': 0.483468, 'joy': 0.020005, 'fear': 0.421634, 'disgust': 0.021488, 'anger': 0.054771}","{'joy': 0.23659217252922057, 'sadness': 0.24113280928344727, 'anger': 0.34720424169387815, 'fear': 0.7648533389793395, 'disgust': 0.0085952, 'surprise': 0.28959301114082336}","It sounds like you’re feeling a mix of anxiety and fear right now. It's really common to turn to the internet for answers, even when we know it can be overwhelming. The uncertainty and not knowing what’s going on can drive that urge to seek information, but it often leads to more worry. It’s okay to feel scared, and it might help to take a break from searching and focus on things that bring you comfort. Is there anything else on your mind that you’d like to discuss?",702,0.00015,88
7,"Some days I convince myself it's nothing. Like, I feel fine, so it must be a false alarm, right?",3️⃣ LLM Only (No rule-based input),joy,joy,joy,"{'sadness': 0.3450636863708496, 'joy': 0.9988811612129211, 'love': 0.1781781017780304, 'anger': 0.12008475512266159, 'fear': 0.18784752488136292, 'surprise': 0.20644301176071167}","{'sadness': 0.138825, 'joy': 0.329441, 'fear': 0.287244, 'disgust': 0.016565, 'anger': 0.100206}","{'joy': 0.7311050967277527, 'sadness': 0.2625682118225098, 'anger': 0.11213325307359695, 'fear': 0.22760611492881774, 'disgust': 0.006626, 'surprise': 0.123865807056427}","It's completely normal to have days when you feel more hopeful and try to convince yourself that everything will be okay. Finding ways to stay positive can be a coping mechanism during uncertain times. It’s also okay to feel fine and hold onto that hope. Balancing those feelings with the reality of your situation can be challenging. If you want to talk more about your thoughts or feelings, I’m here to help you process them.",818,0.00016,75
8,But then other days I'm convinced the worst is happening. I swing between denial and panic.,3️⃣ LLM Only (No rule-based input),joy,sadness,joy,"{'sadness': 0.24187949299812317, 'joy': 0.994422972202301, 'love': 0.07090943306684494, 'anger': 0.20623145997524261, 'fear': 0.6153116822242737, 'surprise': 0.21303565800189972}","{'sadness': 0.427842, 'joy': 0.008257, 'fear': 0.416417, 'disgust': 0.054192, 'anger': 0.106759}","{'joy': 0.5999565833213807, 'sadness': 0.3162644957988739, 'anger': 0.16644247598514555, 'fear': 0.5357538093345642, 'disgust': 0.0216768, 'surprise': 0.12782139480113983}","It sounds like you're experiencing a lot of emotional ups and downs, swinging between hope and fear. That kind of fluctuation is completely normal when faced with uncertainty about your health. It can feel exhausting to navigate those intense emotions, especially when it feels like they can change from one day to the next. It’s okay to acknowledge both feelings—sometimes denial can be a way to cope, while other times, the reality of the situation can feel overwhelming. If you want to share more about how you're feeling today, I’m here to listen.",952,0.000191,93
9,I called in sick to work today because I couldn't face anyone. I just needed to be alone with my thoughts.,3️⃣ LLM Only (No rule-based input),sadness,sadness,sadness,"{'sadness': 0.9963617920875549, 'joy': 0.1365620344877243, 'love': 0.06731382757425308, 'anger': 0.7902613878250122, 'fear': 0.5262089371681213, 'surprise': 0.06534130871295929}","{'sadness': 0.428333, 'joy': 0.262395, 'fear': 0.235587, 'disgust': 0.047855, 'anger': 0.0818}","{'joy': 0.1868952206926346, 'sadness': 0.769150275252533, 'anger': 0.5068768326950073, 'fear': 0.4099601623008728, 'disgust': 0.019142000000000003, 'surprise': 0.039204785227775575}","It sounds like you’re feeling really overwhelmed right now and needed some space to process everything. It’s completely okay to take time for yourself when you’re struggling. Being alone with your thoughts can sometimes help, but it can also feel heavy. If you want to share what’s on your mind, I’m here to listen and support you.",1051,0.000188,57
10,My appointment for the biopsy is in two weeks. Two weeks feels like forever.,3️⃣ LLM Only (No rule-based input),joy,sadness,joy,"{'sadness': 0.5792976021766663, 'joy': 0.9968060255050659, 'love': 0.5536677837371826, 'anger': 0.10251264274120331, 'fear': 0.09182193130254745, 'surprise': 0.1534598171710968}","{'sadness': 0.298192, 'joy': 0.1685, 'fear': 0.291281, 'disgust': 0.01242, 'anger': 0.071329}","{'joy': 0.6654836153030396, 'sadness': 0.46685536130599975, 'anger': 0.09003918564472199, 'fear': 0.1716055587815285, 'disgust': 0.004968, 'surprise': 0.09207589030265807}","It sounds like you're feeling really anxious about the wait for your biopsy. Two weeks can feel like a long time when you're dealing with uncertainty. It’s completely understandable to feel that way, especially when you’re waiting for important answers. Is there something specific you’d like to do to help pass the time or ease your anxiety during this wait? I'm here for you.",1148,0.000205,64
