turn,user,mode,hf_label,ibm_label,final_label,hf_scores,ibm_scores,merged_scores,bot_reply,tokens_used,cost_usd,response_length
1,"My dad passed away this morning. I still can't believe it. Like, I know it happened, but it doesn't feel real.",1️⃣ Rule → LLM (Emotion label only),joy,sadness,sadness,"{'sadness': 0.9423158764839172, 'joy': 0.9806255102157593, 'love': 0.13099405169487, 'anger': 0.07529547810554504, 'fear': 0.3527001738548279, 'surprise': 0.35314473509788513}","{'sadness': 0.567325, 'joy': 0.110482, 'fear': 0.131718, 'disgust': 0.032101, 'anger': 0.087864}","{'joy': 0.6325681061294556, 'sadness': 0.7923195258903503, 'anger': 0.08032288686332703, 'fear': 0.26430730431289673, 'disgust': 0.0128404, 'surprise': 0.21188684105873107}","I'm so sorry to hear about your dad. It’s completely understandable to feel a mix of disbelief and sorrow right now. Losing someone so close can feel overwhelming. Take your time to process everything, and remember that it’s okay to feel however you’re feeling. If you’d like, I’m here to listen or talk about any memories you wish to share.",135,5.3e-05,60
2,"He'd been sick for a while, but I thought we had more time. The doctors said he was stable just yesterday.",1️⃣ Rule → LLM (Emotion label only),joy,sadness,joy,"{'sadness': 0.5642220377922058, 'joy': 0.9903036952018738, 'love': 0.08167761564254761, 'anger': 0.18643350899219513, 'fear': 0.45283088088035583, 'surprise': 0.17662367224693298}","{'sadness': 0.442106, 'joy': 0.075602, 'fear': 0.303432, 'disgust': 0.046624, 'anger': 0.063637}","{'joy': 0.6244230171211242, 'sadness': 0.5153756226753234, 'anger': 0.13731490539531707, 'fear': 0.39307132852821347, 'disgust': 0.0186496, 'surprise': 0.10597420334815978}","I'm really sorry to hear that you were caught off guard by the suddenness of it all. It’s incredibly tough when things seem stable, and then everything changes so quickly. If you’d like to talk about how you’re feeling or share any memories of him, I’m here to listen.",227,6.1e-05,49
3,I keep expecting him to call me like he does every Sunday. I almost dialed his number before I remembered.,1️⃣ Rule → LLM (Emotion label only),fear,sadness,fear,"{'sadness': 0.34084081649780273, 'joy': 0.4833112955093384, 'love': 0.051943812519311905, 'anger': 0.5989295840263367, 'fear': 0.9787615537643433, 'surprise': 0.29662805795669556}","{'sadness': 0.572419, 'joy': 0.182229, 'fear': 0.049677, 'disgust': 0.024735, 'anger': 0.034424}","{'joy': 0.362878377305603, 'sadness': 0.4334720898986817, 'anger': 0.373127350415802, 'fear': 0.607127732258606, 'disgust': 0.009894, 'surprise': 0.17797683477401732}","That sounds really painful. It’s completely normal to feel that way, especially with routines like Sunday calls that carry so much connection and comfort. Those moments can really hit hard when you realize things have changed. It might help to talk about some of the memories you shared during those calls or how he made you feel. I'm here for you.",326,7.9e-05,61
4,My mom is in complete shock. She's just sitting in the living room staring at nothing. I don't know how to help her.,1️⃣ Rule → LLM (Emotion label only),fear,sadness,fear,"{'sadness': 0.1377834975719452, 'joy': 0.09829047322273254, 'love': 0.09466197341680527, 'anger': 0.3086227774620056, 'fear': 0.9940661191940308, 'surprise': 0.9004440307617188}","{'sadness': 0.317436, 'joy': 0.152549, 'fear': 0.284332, 'disgust': 0.038875, 'anger': 0.184508}","{'joy': 0.11999388393363952, 'sadness': 0.20964449854316713, 'anger': 0.25897686647720336, 'fear': 0.7101724715164184, 'disgust': 0.015550000000000001, 'surprise': 0.5402664184570313}","It’s understandable to feel helpless when you see someone you love in such pain. Shock can be a very disorienting experience, and everyone processes loss differently. Sometimes just being there for her can make a difference—sitting with her, offering a gentle presence, or even talking to her when she’s ready. It might also help to encourage her to talk to someone who can provide support, like a friend or a counselor. You’re doing the best you can, and it’s okay to feel uncertain about what to do. Just take it one step at a time.",475,0.000123,95
5,"I have to start making calls to tell people. Friends, family, relatives. I don't know how many times I can say these words before I fall apart.",1️⃣ Rule → LLM (Emotion label only),sadness,sadness,sadness,"{'sadness': 0.9855656027793884, 'joy': 0.4498010575771332, 'love': 0.1008935272693634, 'anger': 0.19761446118354797, 'fear': 0.9031129479408264, 'surprise': 0.09494806081056595}","{'sadness': 0.44737, 'joy': 0.202716, 'fear': 0.059318, 'disgust': 0.069667, 'anger': 0.145225}","{'joy': 0.3509670345462799, 'sadness': 0.770287361667633, 'anger': 0.17665867671012878, 'fear': 0.5655949687644959, 'disgust': 0.027866800000000004, 'surprise': 0.05696883648633957}","I can only imagine how difficult that must be for you. Sharing such painful news is incredibly hard, and it’s okay to feel overwhelmed by it. Take your time, and don’t pressure yourself to be strong. You might want to consider writing down what you want to say or asking someone to help you make those calls. Remember, it’s okay to lean on others during this time—you're not alone in this.",600,0.000128,71
6,Part of me keeps thinking this is a mistake. Like the hospital called the wrong family or something.,1️⃣ Rule → LLM (Emotion label only),anger,sadness,sadness,"{'sadness': 0.910424530506134, 'joy': 0.1065605878829956, 'love': 0.03450308367609978, 'anger': 0.9538512825965881, 'fear': 0.861591637134552, 'surprise': 0.06961224228143692}","{'sadness': 0.642575, 'joy': 0.01602, 'fear': 0.171721, 'disgust': 0.055557, 'anger': 0.122397}","{'joy': 0.07034435272979736, 'sadness': 0.8032847183036804, 'anger': 0.6212695695579529, 'fear': 0.5856433822807312, 'disgust': 0.0222228, 'surprise': 0.041767345368862153}","It’s completely normal to feel that way when you’re in shock and grief. When something feels so surreal, it’s hard to accept it as reality. It's a way of coping with the immense pain. Allow yourself to feel those thoughts, but also know that it's okay to seek support from others. You don’t have to go through this alone, and it’s important to share those feelings with someone who can help you.",712,0.000145,72
7,I remember our last conversation. We just talked about work and the weather. I wish I'd said something more meaningful.,1️⃣ Rule → LLM (Emotion label only),joy,joy,joy,"{'sadness': 0.4087015688419342, 'joy': 0.9982836246490479, 'love': 0.3910024166107178, 'anger': 0.20461341738700867, 'fear': 0.046359460800886154, 'surprise': 0.16709774732589722}","{'sadness': 0.24179, 'joy': 0.495816, 'fear': 0.129488, 'disgust': 0.016991, 'anger': 0.075117}","{'joy': 0.7972965747894287, 'sadness': 0.3419369413051605, 'anger': 0.1528148504322052, 'fear': 0.0796108764805317, 'disgust': 0.0067964, 'surprise': 0.10025864839553833}","It’s natural to wish for deeper connections in our conversations, especially with someone we care about. Those everyday moments, like talking about work and the weather, can still hold a lot of meaning. Your dad likely appreciated just being able to talk with you, no matter the topic. Sometimes, it’s the simplicity of those interactions that make them special. If you feel comfortable, consider reflecting on your favorite memories or moments shared with him; those can be a beautiful way to honor his memory.",841,0.00017,84
8,Why didn't I visit him last weekend? I had the chance but I was tired. Now I'll never get that time back.,1️⃣ Rule → LLM (Emotion label only),sadness,sadness,sadness,"{'sadness': 0.9917733073234558, 'joy': 0.49007484316825867, 'love': 0.07454473525285721, 'anger': 0.7838107347488403, 'fear': 0.35133373737335205, 'surprise': 0.051489561796188354}","{'sadness': 0.39577, 'joy': 0.176972, 'fear': 0.184159, 'disgust': 0.016085, 'anger': 0.049782}","{'joy': 0.36483370590095515, 'sadness': 0.7533719843940735, 'anger': 0.49019924084930416, 'fear': 0.28446384242401124, 'disgust': 0.006434, 'surprise': 0.03089373707771301}","I’m really sorry you’re feeling this way. It’s hard to carry those ""what if"" thoughts, especially when you realize the time has passed. Please remember that it’s normal to have moments of tiredness and that you couldn’t have known what was coming. It might be helpful to focus on the memories you shared instead of the missed opportunity. Your feelings are valid, and it’s okay to grieve the lost moments as you navigate this difficult time.",967,0.000187,76
9,"I'm so angry right now. Angry at him for leaving, angry at the doctors, angry at the world. This isn't fair.",1️⃣ Rule → LLM (Emotion label only),anger,anger,anger,"{'sadness': 0.34598949551582336, 'joy': 0.14046239852905273, 'love': 0.11934233456850052, 'anger': 0.9980794191360474, 'fear': 0.37143418192863464, 'surprise': 0.12538088858127594}","{'sadness': 0.219595, 'joy': 0.015029, 'fear': 0.065659, 'disgust': 0.019485, 'anger': 0.704563}","{'joy': 0.09028903911743165, 'sadness': 0.29543169730949403, 'anger': 0.8806728514816284, 'fear': 0.24912410915718078, 'disgust': 0.007794, 'surprise': 0.07522853314876556}","It’s completely valid to feel angry right now. Losing someone you love is incredibly painful, and it's natural to want to direct that anger at the situation and the people involved. Life can feel profoundly unfair in moments like these. Allow yourself to feel that anger; it's a part of the grief process. If you want to talk more about what's fueling your anger or how you're feeling, I'm here for you.",1082,0.000199,72
10,My brother arrived at the house. Seeing him cry made it suddenly feel real. I couldn't hold it together after that.,1️⃣ Rule → LLM (Emotion label only),joy,sadness,joy,"{'sadness': 0.48276257514953613, 'joy': 0.9963392019271851, 'love': 0.10461451858282089, 'anger': 0.07648376375436783, 'fear': 0.3695003092288971, 'surprise': 0.3532305359840393}","{'sadness': 0.570001, 'joy': 0.17583, 'fear': 0.123749, 'disgust': 0.023101, 'anger': 0.081605}","{'joy': 0.6681355211563109, 'sadness': 0.5176579450897216, 'anger': 0.0785322582526207, 'fear': 0.27119978553733826, 'disgust': 0.009240400000000001, 'surprise': 0.21193832159042358}","It's completely understandable that seeing your brother express his emotions made things hit home for you. It’s a powerful moment when we realize we’re all experiencing this grief together. It can be both heartbreaking and comforting to be surrounded by loved ones during such a difficult time. If you feel up to it, sharing memories of your dad together might help you all feel connected as you navigate this together. I'm here if you'd like to talk more about it.",1202,0.00022,80
11,I don't know what to do with myself. Everything feels surreal and I'm just walking around in a daze.,1️⃣ Rule → LLM (Emotion label only),fear,sadness,fear,"{'sadness': 0.19118152558803558, 'joy': 0.2782640755176544, 'love': 0.09906817227602005, 'anger': 0.14627119898796082, 'fear': 0.9903666973114014, 'surprise': 0.8980186581611633}","{'sadness': 0.54379, 'joy': 0.117105, 'fear': 0.130052, 'disgust': 0.026888, 'anger': 0.077089}","{'joy': 0.21380044531059264, 'sadness': 0.3322249153528214, 'anger': 0.11859831939277649, 'fear': 0.6462408183868408, 'disgust': 0.0107552, 'surprise': 0.5388111948966979}","It’s completely normal to feel that way after such a significant loss. Grief can make everything feel disorienting and overwhelming. Try to take things one step at a time, even if that just means taking a moment to breathe or sitting quietly. It’s okay to not have all the answers right now. If you feel comfortable, you could try reaching out to someone who can be there for you, or even just take a short walk to clear your mind. Remember to be gentle with yourself during this time—it’s okay to just be in the moment without having to figure everything out.",1350,0.000256,102
12,I have to plan a funeral. How am I supposed to pick a casket and flowers and hymns when my dad is dead? This doesn't make sense.,1️⃣ Rule → LLM (Emotion label only),sadness,sadness,sadness,"{'sadness': 0.9815763235092163, 'joy': 0.2774997651576996, 'love': 0.06019268184900284, 'anger': 0.32878485321998596, 'fear': 0.9266915917396545, 'surprise': 0.20130552351474762}","{'sadness': 0.494076, 'joy': 0.017022, 'fear': 0.119748, 'disgust': 0.02723, 'anger': 0.227488}","{'joy': 0.17330865909461976, 'sadness': 0.7865761941055297, 'anger': 0.2882661119319916, 'fear': 0.6039141550437928, 'disgust': 0.010892, 'surprise': 0.12078331410884857}","I can’t imagine how overwhelming that must feel right now. Planning a funeral while you're in such deep grief is incredibly challenging, and it’s understandable to feel disconnected from the process. Try to take it one step at a time. You can reach out for support from family or friends who can help with decisions. It’s okay to feel lost and not have everything figured out right away. Remember, the focus is on honoring your dad and celebrating his life, and you don’t have to do it all alone. If you want to talk more about what’s on your mind, I’m here for you.",1511,0.000281,104
13,His things are still in his room. His watch is on the nightstand. His reading glasses. I can't look at them.,1️⃣ Rule → LLM (Emotion label only),fear,joy,sadness,"{'sadness': 0.9360138177871704, 'joy': 0.11899901181459427, 'love': 0.04598569497466087, 'anger': 0.6476531624794006, 'fear': 0.9740787148475647, 'surprise': 0.1305190622806549}","{'sadness': 0.272999, 'joy': 0.313112, 'fear': 0.206469, 'disgust': 0.044048, 'anger': 0.097551}","{'joy': 0.19664420708875657, 'sadness': 0.6708078906723023, 'anger': 0.4276122974876404, 'fear': 0.6670348289085388, 'disgust': 0.017619199999999998, 'surprise': 0.07831143736839294}","I’m so sorry you’re going through this. It can be so difficult to see personal belongings and be reminded of their absence. It's okay to feel overwhelmed by that. If you feel up to it, you might want to take your time with those items, maybe choosing to keep them as they are for now until you're ready to decide what to do. It’s all part of the process of grieving, and it’s okay to take things at your own pace.",1638,0.000288,81
14,I found some old letters he wrote to me years ago. I didn't even know he kept them. I'm reading them over and over.,1️⃣ Rule → LLM (Emotion label only),sadness,sadness,sadness,"{'sadness': 0.9303833842277527, 'joy': 0.7545908093452454, 'love': 0.3395538330078125, 'anger': 0.592725932598114, 'fear': 0.25666284561157227, 'surprise': 0.0732375904917717}","{'sadness': 0.409238, 'joy': 0.343618, 'fear': 0.107985, 'disgust': 0.03514, 'anger': 0.062146}","{'joy': 0.5902016856071473, 'sadness': 0.7219252305366516, 'anger': 0.3804939595588684, 'fear': 0.19719170736694336, 'disgust': 0.014055999999999999, 'surprise': 0.04394255429506302}","Those letters must hold so many precious memories and emotions. It's a beautiful way to connect with your dad and reflect on the bond you shared. Reading his words can bring both comfort and sorrow, but it's okay to take your time with them. If you feel like sharing what they say or how they make you feel, I’m here to listen.",1742,0.000292,62
15,"My friends keep calling but I don't know what to say to them. I appreciate it, but I also just want to be alone.",1️⃣ Rule → LLM (Emotion label only),sadness,sadness,sadness,"{'sadness': 0.9983769655227661, 'joy': 0.4929606020450592, 'love': 0.22158128023147583, 'anger': 0.4288819432258606, 'fear': 0.11882773786783218, 'surprise': 0.07180876284837723}","{'sadness': 0.37709, 'joy': 0.222764, 'fear': 0.092934, 'disgust': 0.02615, 'anger': 0.089856}","{'joy': 0.3848819612270355, 'sadness': 0.7498621793136596, 'anger': 0.29327156593551634, 'fear': 0.10847024272069931, 'disgust': 0.01046, 'surprise': 0.04308525770902633}","It’s completely okay to want some time alone right now. Grief can be very personal, and you don’t have to force yourself to talk if you’re not ready. It might help to let your friends know that you appreciate their concern but need some space. You can decide when you're ready to reach out. Take care of yourself, and remember that it’s okay to prioritize your own needs at this time. I'm here if you want to talk more about it.",1871,0.000323,81
16,"I'm exhausted but I can't sleep. When I close my eyes, I see him in the hospital bed and I just start crying again.",1️⃣ Rule → LLM (Emotion label only),sadness,sadness,sadness,"{'sadness': 0.9925175905227661, 'joy': 0.12314099818468094, 'love': 0.11312135308980942, 'anger': 0.23425495624542236, 'fear': 0.9338000416755676, 'surprise': 0.13840332627296448}","{'sadness': 0.74366, 'joy': 0.009347, 'fear': 0.270591, 'disgust': 0.008847, 'anger': 0.066857}","{'joy': 0.07762339891080856, 'sadness': 0.8929745543136596, 'anger': 0.16729577374725343, 'fear': 0.6685164250053406, 'disgust': 0.0035388000000000004, 'surprise': 0.08304199576377869}","I’m so sorry to hear that you’re feeling this way. It’s completely understandable to be exhausted but unable to find rest, especially with such heavy emotions weighing on you. The memories can be incredibly painful right now. If it helps, consider trying to create a calming environment before sleep, like listening to soft music or talking to someone who can support you. Remember, it’s okay to allow yourself to feel and cry; it’s a part of the healing process. I’m here for you if you want to talk about anything.",2013,0.00035,90
17,"Some moments I forget he's gone, and then it hits me all over again like it's the first time I'm hearing it.",1️⃣ Rule → LLM (Emotion label only),sadness,joy,sadness,"{'sadness': 0.9418080449104309, 'joy': 0.6025397777557373, 'love': 0.07869046926498413, 'anger': 0.29785066843032837, 'fear': 0.7679020166397095, 'surprise': 0.28812968730926514}","{'sadness': 0.105018, 'joy': 0.459631, 'fear': 0.12729, 'disgust': 0.030517, 'anger': 0.082877}","{'joy': 0.5453762666534424, 'sadness': 0.6070920269462585, 'anger': 0.21186120105819703, 'fear': 0.5116572099838257, 'disgust': 0.0122068, 'surprise': 0.17287781238555908}","I can only imagine how painful that must be. It’s normal to have those moments of forgetfulness amidst the chaos of grief, and then suddenly have the weight of reality come crashing back. Each wave of emotion can feel just as intense as the first time. Be gentle with yourself as you navigate through these feelings; you’re not alone in this. If you want to talk more about it or share how you're feeling, I'm here for you.",2134,0.00036,78
