turn,user,mode,hf_label,ibm_label,final_label,hf_scores,ibm_scores,merged_scores,bot_reply,tokens_used,cost_usd,response_length
1,"My dad passed away this morning. I still can't believe it. Like, I know it happened, but it doesn't feel real.",2️⃣ Array → LLM (Full emotion vector),joy,sadness,sadness,"{'sadness': 0.9423158764839172, 'joy': 0.9806255102157593, 'love': 0.13099405169487, 'anger': 0.07529547810554504, 'fear': 0.3527001738548279, 'surprise': 0.35314473509788513}","{'sadness': 0.567325, 'joy': 0.110482, 'fear': 0.131718, 'disgust': 0.032101, 'anger': 0.087864}","{'joy': 0.6325681061294556, 'sadness': 0.7923195258903503, 'anger': 0.08032288686332703, 'fear': 0.26430730431289673, 'disgust': 0.0128404, 'surprise': 0.21188684105873107}","I'm so sorry to hear about your dad's passing. It’s completely understandable to feel a mix of emotions right now, and it can be hard to process something so profound. Grief often comes in waves, and sometimes it feels surreal. Please know that it’s okay to take your time to feel what you’re feeling, and you don’t have to go through this alone. If you need someone to talk to, I’m here for you.",198,7e-05,74
2,"He'd been sick for a while, but I thought we had more time. The doctors said he was stable just yesterday.",2️⃣ Array → LLM (Full emotion vector),joy,sadness,joy,"{'sadness': 0.5642220377922058, 'joy': 0.9903036952018738, 'love': 0.08167761564254761, 'anger': 0.18643350899219513, 'fear': 0.45283088088035583, 'surprise': 0.17662367224693298}","{'sadness': 0.442106, 'joy': 0.075602, 'fear': 0.303432, 'disgust': 0.046624, 'anger': 0.063637}","{'joy': 0.6244230171211242, 'sadness': 0.5153756226753234, 'anger': 0.13731490539531707, 'fear': 0.39307132852821347, 'disgust': 0.0186496, 'surprise': 0.10597420334815978}","I can’t imagine how difficult this must be for you. It’s incredibly hard to hear that someone you love is sick, and when you have hope for more time, it feels so shocking and unfair when things change quickly. That sense of disbelief is a natural response, especially after feeling reassured by the doctors. It's okay to feel a mix of sadness and confusion right now. If you want to share more about your dad or how you're feeling, I’m here to listen.",327,9.2e-05,83
3,I keep expecting him to call me like he does every Sunday. I almost dialed his number before I remembered.,2️⃣ Array → LLM (Full emotion vector),fear,sadness,fear,"{'sadness': 0.34084081649780273, 'joy': 0.4833112955093384, 'love': 0.051943812519311905, 'anger': 0.5989295840263367, 'fear': 0.9787615537643433, 'surprise': 0.29662805795669556}","{'sadness': 0.572419, 'joy': 0.182229, 'fear': 0.049677, 'disgust': 0.024735, 'anger': 0.034424}","{'joy': 0.362878377305603, 'sadness': 0.4334720898986817, 'anger': 0.373127350415802, 'fear': 0.607127732258606, 'disgust': 0.009894, 'surprise': 0.17797683477401732}","It’s completely natural to expect that familiar routine, especially when you’ve shared those moments together for so long. The longing to hear his voice can be so strong, and it must be incredibly painful to have that reminder of the connection you had. It’s okay to feel that sadness and the emptiness that comes with it. Remember, it’s all part of the process of grief. If you’d like, we can talk about some of your favorite memories with him.",452,0.00011,79
4,My mom is in complete shock. She's just sitting in the living room staring at nothing. I don't know how to help her.,2️⃣ Array → LLM (Full emotion vector),fear,sadness,fear,"{'sadness': 0.1377834975719452, 'joy': 0.09829047322273254, 'love': 0.09466197341680527, 'anger': 0.3086227774620056, 'fear': 0.9940661191940308, 'surprise': 0.9004440307617188}","{'sadness': 0.317436, 'joy': 0.152549, 'fear': 0.284332, 'disgust': 0.038875, 'anger': 0.184508}","{'joy': 0.11999388393363952, 'sadness': 0.20964449854316713, 'anger': 0.25897686647720336, 'fear': 0.7101724715164184, 'disgust': 0.015550000000000001, 'surprise': 0.5402664184570313}","It sounds really tough to see your mom in that state. Shock can be such a heavy emotion, and it can leave people feeling lost and unsure of what to do next. It’s understandable to feel overwhelmed yourself and not know how to help her right now. Sometimes just being there for her, even if you're not saying much, can be a comfort. You could sit with her, hold her hand, or share some quiet moments together. If she seems open to it, you might gently encourage her to talk or express her feelings when she’s ready. It’s okay to take it one step at a time; you’re both going through this together, and being there for each other can mean a lot.",628,0.000158,123
5,"I have to start making calls to tell people. Friends, family, relatives. I don't know how many times I can say these words before I fall apart.",2️⃣ Array → LLM (Full emotion vector),sadness,sadness,sadness,"{'sadness': 0.9855656027793884, 'joy': 0.4498010575771332, 'love': 0.1008935272693634, 'anger': 0.19761446118354797, 'fear': 0.9031129479408264, 'surprise': 0.09494806081056595}","{'sadness': 0.44737, 'joy': 0.202716, 'fear': 0.059318, 'disgust': 0.069667, 'anger': 0.145225}","{'joy': 0.3509670345462799, 'sadness': 0.770287361667633, 'anger': 0.17665867671012878, 'fear': 0.5655949687644959, 'disgust': 0.027866800000000004, 'surprise': 0.05696883648633957}","I can only imagine how heavy that feels for you. Having to make those calls while you're still processing everything is incredibly challenging. It’s normal to feel like it might be too much to handle—each conversation is a reminder of your loss. Take your time and try to breathe. You don’t have to rush through this. If it feels overwhelming, it’s okay to ask someone else for help or to take breaks in between calls. Your feelings are valid, and it's important to give yourself grace as you navigate this difficult task. Remember, you’re not alone in this; it’s okay to lean on others for support.",793,0.000175,106
6,Part of me keeps thinking this is a mistake. Like the hospital called the wrong family or something.,2️⃣ Array → LLM (Full emotion vector),anger,sadness,sadness,"{'sadness': 0.910424530506134, 'joy': 0.1065605878829956, 'love': 0.03450308367609978, 'anger': 0.9538512825965881, 'fear': 0.861591637134552, 'surprise': 0.06961224228143692}","{'sadness': 0.642575, 'joy': 0.01602, 'fear': 0.171721, 'disgust': 0.055557, 'anger': 0.122397}","{'joy': 0.07034435272979736, 'sadness': 0.8032847183036804, 'anger': 0.6212695695579529, 'fear': 0.5856433822807312, 'disgust': 0.0222228, 'surprise': 0.041767345368862153}","I can understand why you'd feel that way. It’s such an unreal situation, and your mind may want to hold onto that hope, clinging to the idea that there’s been some sort of mistake. It’s natural to search for some sort of explanation or a way to make sense of this, especially when the pain feels so overwhelming. Allowing yourself to feel that uncertainty doesn’t make your grief any less valid. It’s okay to feel conflicted and to wish for things to be different. If you want to talk more about those feelings or share what your dad meant to you, I’m here to listen.",945,0.000198,105
7,I remember our last conversation. We just talked about work and the weather. I wish I'd said something more meaningful.,2️⃣ Array → LLM (Full emotion vector),joy,joy,joy,"{'sadness': 0.4087015688419342, 'joy': 0.9982836246490479, 'love': 0.3910024166107178, 'anger': 0.20461341738700867, 'fear': 0.046359460800886154, 'surprise': 0.16709774732589722}","{'sadness': 0.24179, 'joy': 0.495816, 'fear': 0.129488, 'disgust': 0.016991, 'anger': 0.075117}","{'joy': 0.7972965747894287, 'sadness': 0.3419369413051605, 'anger': 0.1528148504322052, 'fear': 0.0796108764805317, 'disgust': 0.0067964, 'surprise': 0.10025864839553833}","It's completely normal to wish you had shared something deeper, especially in a moment that now feels so significant. But those everyday conversations matter, too—they're part of the connection you had with your dad. Sometimes, the simplest exchanges are filled with love and care, even if they don’t seem profound at the time. Remind yourself that your relationship was more than just one conversation; it was built over countless moments, both big and small. If you’d like, we can talk about other memories or things you’d like to remember about him that feel meaningful.",1088,0.000214,94
8,Why didn't I visit him last weekend? I had the chance but I was tired. Now I'll never get that time back.,2️⃣ Array → LLM (Full emotion vector),sadness,sadness,sadness,"{'sadness': 0.9917733073234558, 'joy': 0.49007484316825867, 'love': 0.07454473525285721, 'anger': 0.7838107347488403, 'fear': 0.35133373737335205, 'surprise': 0.051489561796188354}","{'sadness': 0.39577, 'joy': 0.176972, 'fear': 0.184159, 'disgust': 0.016085, 'anger': 0.049782}","{'joy': 0.36483370590095515, 'sadness': 0.7533719843940735, 'anger': 0.49019924084930416, 'fear': 0.28446384242401124, 'disgust': 0.006434, 'surprise': 0.03089373707771301}","It’s understandable to feel this way, and I’m really sorry you’re going through this pain. It’s natural to think about the “what ifs” and feel regret, especially when we lose someone we love. The truth is, we often end up making choices based on how we feel in the moment, and it doesn’t mean you didn’t care or value your time with him. You were doing your best at that time, even if it doesn’t feel that way now. Please remember that you had many moments with him that mattered. It’s okay to feel sad about this, and it’s also okay to honor those feelings as part of your grief. If you want to talk more about it, I’m here for you.",1270,0.000258,122
9,"I'm so angry right now. Angry at him for leaving, angry at the doctors, angry at the world. This isn't fair.",2️⃣ Array → LLM (Full emotion vector),anger,anger,anger,"{'sadness': 0.34598949551582336, 'joy': 0.14046239852905273, 'love': 0.11934233456850052, 'anger': 0.9980794191360474, 'fear': 0.37143418192863464, 'surprise': 0.12538088858127594}","{'sadness': 0.219595, 'joy': 0.015029, 'fear': 0.065659, 'disgust': 0.019485, 'anger': 0.704563}","{'joy': 0.09028903911743165, 'sadness': 0.29543169730949403, 'anger': 0.8806728514816284, 'fear': 0.24912410915718078, 'disgust': 0.007794, 'surprise': 0.07522853314876556}","I hear you, and it's completely valid to feel that anger right now. Losing someone you love can ignite all kinds of intense emotions, and it's normal to want to direct that anger at the people or circumstances around you. It feels so unjust, and it’s okay to feel that frustration and betrayal, especially when things seem out of your control. You’re grappling with a tremendous loss, and it’s hard to make sense of it all. Allow yourself to feel that anger—it’s a part of the grief process. If you want to express more about what you’re feeling or why you're angry, I'm here to listen.",1429,0.000271,106
10,My brother arrived at the house. Seeing him cry made it suddenly feel real. I couldn't hold it together after that.,2️⃣ Array → LLM (Full emotion vector),joy,sadness,joy,"{'sadness': 0.48276257514953613, 'joy': 0.9963392019271851, 'love': 0.10461451858282089, 'anger': 0.07648376375436783, 'fear': 0.3695003092288971, 'surprise': 0.3532305359840393}","{'sadness': 0.570001, 'joy': 0.17583, 'fear': 0.123749, 'disgust': 0.023101, 'anger': 0.081605}","{'joy': 0.6681355211563109, 'sadness': 0.5176579450897216, 'anger': 0.0785322582526207, 'fear': 0.27119978553733826, 'disgust': 0.009240400000000001, 'surprise': 0.21193832159042358}","It sounds like seeing your brother's tears really hit home for you, and that moment can trigger such a powerful wave of emotion. It’s so hard to see someone you care about in pain, and it can often bring your own feelings to the surface. That sense of reality can feel like a heavy weight, making everything feel so palpable. It's completely understandable to break down during a moment like this. Grief can be overwhelming, especially when you share it with others who are also hurting. You’re not alone in this; it’s okay to lean on each other for support. If you’d like to talk more about it, I’m here to listen.",1593,0.000298,112
