turn,user,mode,hf_label,ibm_label,final_label,hf_scores,ibm_scores,merged_scores,bot_reply,tokens_used,cost_usd,response_length
1,"My dad passed away this morning. I still can't believe it. Like, I know it happened, but it doesn't feel real.",3️⃣ LLM Only (No rule-based input),joy,sadness,sadness,"{'sadness': 0.9423158764839172, 'joy': 0.9806255102157593, 'love': 0.13099405169487, 'anger': 0.07529547810554504, 'fear': 0.3527001738548279, 'surprise': 0.35314473509788513}","{'sadness': 0.567325, 'joy': 0.110482, 'fear': 0.131718, 'disgust': 0.032101, 'anger': 0.087864}","{'joy': 0.6325681061294556, 'sadness': 0.7923195258903503, 'anger': 0.08032288686332703, 'fear': 0.26430730431289673, 'disgust': 0.0128404, 'surprise': 0.21188684105873107}","I'm truly sorry to hear about your dad's passing. It’s completely understandable to feel this way—grief can be so overwhelming and confusing. If you'd like to talk about him or share how you're feeling, I'm here to listen. You're not alone in this.",110,4e-05,43
2,"He'd been sick for a while, but I thought we had more time. The doctors said he was stable just yesterday.",3️⃣ LLM Only (No rule-based input),joy,sadness,joy,"{'sadness': 0.5642220377922058, 'joy': 0.9903036952018738, 'love': 0.08167761564254761, 'anger': 0.18643350899219513, 'fear': 0.45283088088035583, 'surprise': 0.17662367224693298}","{'sadness': 0.442106, 'joy': 0.075602, 'fear': 0.303432, 'disgust': 0.046624, 'anger': 0.063637}","{'joy': 0.6244230171211242, 'sadness': 0.5153756226753234, 'anger': 0.13731490539531707, 'fear': 0.39307132852821347, 'disgust': 0.0186496, 'surprise': 0.10597420334815978}","It sounds like you're feeling a mix of shock and disbelief, especially after hearing that he was stable just yesterday. It’s incredibly difficult to process such sudden news, particularly after holding onto hope for more time. If you want to talk about your dad or anything else that's on your mind, I'm here to support you.",206,5.9e-05,56
3,I keep expecting him to call me like he does every Sunday. I almost dialed his number before I remembered.,3️⃣ LLM Only (No rule-based input),fear,sadness,fear,"{'sadness': 0.34084081649780273, 'joy': 0.4833112955093384, 'love': 0.051943812519311905, 'anger': 0.5989295840263367, 'fear': 0.9787615537643433, 'surprise': 0.29662805795669556}","{'sadness': 0.572419, 'joy': 0.182229, 'fear': 0.049677, 'disgust': 0.024735, 'anger': 0.034424}","{'joy': 0.362878377305603, 'sadness': 0.4334720898986817, 'anger': 0.373127350415802, 'fear': 0.607127732258606, 'disgust': 0.009894, 'surprise': 0.17797683477401732}","It’s completely natural to feel that way, especially when you have that regular connection with him. Those routines can be so comforting, and suddenly losing that can create a deep sense of longing and confusion. It’s okay to miss him and to feel the weight of those moments. If you want to share more about your memories or how you're feeling, I'm here for you.",311,8e-05,65
4,My mom is in complete shock. She's just sitting in the living room staring at nothing. I don't know how to help her.,3️⃣ LLM Only (No rule-based input),fear,sadness,fear,"{'sadness': 0.1377834975719452, 'joy': 0.09829047322273254, 'love': 0.09466197341680527, 'anger': 0.3086227774620056, 'fear': 0.9940661191940308, 'surprise': 0.9004440307617188}","{'sadness': 0.317436, 'joy': 0.152549, 'fear': 0.284332, 'disgust': 0.038875, 'anger': 0.184508}","{'joy': 0.11999388393363952, 'sadness': 0.20964449854316713, 'anger': 0.25897686647720336, 'fear': 0.7101724715164184, 'disgust': 0.015550000000000001, 'surprise': 0.5402664184570313}","It sounds like your mom is really struggling to process everything that’s happened. Shock can leave people feeling paralyzed and unsure of how to move forward. Just being there for her can mean a lot, even if it feels like there's not much you can do. Sometimes sitting with someone in silence or offering a comfortable space for her emotions can help. If you want to talk about it more or share what you're feeling, I'm here to listen.",433,0.000105,79
5,"I have to start making calls to tell people. Friends, family, relatives. I don't know how many times I can say these words before I fall apart.",3️⃣ LLM Only (No rule-based input),sadness,sadness,sadness,"{'sadness': 0.9855656027793884, 'joy': 0.4498010575771332, 'love': 0.1008935272693634, 'anger': 0.19761446118354797, 'fear': 0.9031129479408264, 'surprise': 0.09494806081056595}","{'sadness': 0.44737, 'joy': 0.202716, 'fear': 0.059318, 'disgust': 0.069667, 'anger': 0.145225}","{'joy': 0.3509670345462799, 'sadness': 0.770287361667633, 'anger': 0.17665867671012878, 'fear': 0.5655949687644959, 'disgust': 0.027866800000000004, 'surprise': 0.05696883648633957}","I'm really sorry that you're going through this. It’s incredibly hard to share such painful news, especially when you're already feeling so fragile. Take your time, and know that it’s okay to feel overwhelmed. If you need to pause and take a breath, do that. You’re doing your best under such difficult circumstances, and it's okay to lean on others for support as you navigate this. If you want to talk about it more, I'm here for you.",565,0.000126,78
6,Part of me keeps thinking this is a mistake. Like the hospital called the wrong family or something.,3️⃣ LLM Only (No rule-based input),anger,sadness,sadness,"{'sadness': 0.910424530506134, 'joy': 0.1065605878829956, 'love': 0.03450308367609978, 'anger': 0.9538512825965881, 'fear': 0.861591637134552, 'surprise': 0.06961224228143692}","{'sadness': 0.642575, 'joy': 0.01602, 'fear': 0.171721, 'disgust': 0.055557, 'anger': 0.122397}","{'joy': 0.07034435272979736, 'sadness': 0.8032847183036804, 'anger': 0.6212695695579529, 'fear': 0.5856433822807312, 'disgust': 0.0222228, 'surprise': 0.041767345368862153}","It's completely understandable to feel that way right now. When faced with such a painful loss, our minds can struggle to accept the reality of it. The idea that it might not be true or that there was a mistake is a common reaction in situations like this. It’s part of the disbelief that comes with grief. If you want to share more about what you're feeling or thinking, I'm here for you.",674,0.000138,73
7,I remember our last conversation. We just talked about work and the weather. I wish I'd said something more meaningful.,3️⃣ LLM Only (No rule-based input),joy,joy,joy,"{'sadness': 0.4087015688419342, 'joy': 0.9982836246490479, 'love': 0.3910024166107178, 'anger': 0.20461341738700867, 'fear': 0.046359460800886154, 'surprise': 0.16709774732589722}","{'sadness': 0.24179, 'joy': 0.495816, 'fear': 0.129488, 'disgust': 0.016991, 'anger': 0.075117}","{'joy': 0.7972965747894287, 'sadness': 0.3419369413051605, 'anger': 0.1528148504322052, 'fear': 0.0796108764805317, 'disgust': 0.0067964, 'surprise': 0.10025864839553833}","It sounds like you’re feeling regret and wishing for more from that last interaction. It’s common to reflect on conversations in times of loss and wonder if we could have done something differently. Remember that the simple moments you shared were meaningful in their own way, and your relationship goes beyond just one conversation. If you want to talk more about your feelings or those last moments, I'm here to listen.",784,0.000153,71
8,Why didn't I visit him last weekend? I had the chance but I was tired. Now I'll never get that time back.,3️⃣ LLM Only (No rule-based input),sadness,sadness,sadness,"{'sadness': 0.9917733073234558, 'joy': 0.49007484316825867, 'love': 0.07454473525285721, 'anger': 0.7838107347488403, 'fear': 0.35133373737335205, 'surprise': 0.051489561796188354}","{'sadness': 0.39577, 'joy': 0.176972, 'fear': 0.184159, 'disgust': 0.016085, 'anger': 0.049782}","{'joy': 0.36483370590095515, 'sadness': 0.7533719843940735, 'anger': 0.49019924084930416, 'fear': 0.28446384242401124, 'disgust': 0.006434, 'surprise': 0.03089373707771301}","It sounds like you're feeling a lot of regret and sadness about not visiting him when you had the opportunity. It's really tough to cope with those feelings, especially when you think about the time you can’t get back. Try to be gentle with yourself; it’s common to wish we could change things in hindsight. If you want to talk more about your feelings or share what’s on your mind, I’m here for you.",902,0.000174,74
9,"I'm so angry right now. Angry at him for leaving, angry at the doctors, angry at the world. This isn't fair.",3️⃣ LLM Only (No rule-based input),anger,anger,anger,"{'sadness': 0.34598949551582336, 'joy': 0.14046239852905273, 'love': 0.11934233456850052, 'anger': 0.9980794191360474, 'fear': 0.37143418192863464, 'surprise': 0.12538088858127594}","{'sadness': 0.219595, 'joy': 0.015029, 'fear': 0.065659, 'disgust': 0.019485, 'anger': 0.704563}","{'joy': 0.09028903911743165, 'sadness': 0.29543169730949403, 'anger': 0.8806728514816284, 'fear': 0.24912410915718078, 'disgust': 0.007794, 'surprise': 0.07522853314876556}","It's completely understandable to feel this way. Anger is a natural reaction to loss, and it’s okay to express those feelings. It sounds like you’re grappling with a lot of frustration and a sense of injustice about everything that’s happened. If you want to talk more about what specifically is making you feel this way, I’m here to listen. You’re not alone in this.",1014,0.000187,64
10,My brother arrived at the house. Seeing him cry made it suddenly feel real. I couldn't hold it together after that.,3️⃣ LLM Only (No rule-based input),joy,sadness,joy,"{'sadness': 0.48276257514953613, 'joy': 0.9963392019271851, 'love': 0.10461451858282089, 'anger': 0.07648376375436783, 'fear': 0.3695003092288971, 'surprise': 0.3532305359840393}","{'sadness': 0.570001, 'joy': 0.17583, 'fear': 0.123749, 'disgust': 0.023101, 'anger': 0.081605}","{'joy': 0.6681355211563109, 'sadness': 0.5176579450897216, 'anger': 0.0785322582526207, 'fear': 0.27119978553733826, 'disgust': 0.009240400000000001, 'surprise': 0.21193832159042358}","It sounds like seeing your brother cry brought a wave of reality crashing down on you, and it's completely natural to feel overwhelmed in that moment. It's okay to let your emotions flow; grief has a way of catching us off guard. If you want to share more about what you're feeling or how you're coping, I'm here for you. You're not alone in this.",1118,0.0002,65
