turn,user,mode,hf_label,ibm_label,final_label,hf_scores,ibm_scores,merged_scores,bot_reply,tokens_used,cost_usd,response_length
1,"My dad passed away this morning. I still can't believe it. Like, I know it happened, but it doesn't feel real.",1️⃣ Rule → LLM (Emotion label only),joy,sadness,sadness,"{'sadness': 0.9423158764839172, 'joy': 0.9806255102157593, 'love': 0.13099405169487, 'anger': 0.07529547810554504, 'fear': 0.3527001738548279, 'surprise': 0.35314473509788513}","{'sadness': 0.567325, 'joy': 0.110482, 'fear': 0.131718, 'disgust': 0.032101, 'anger': 0.087864}","{'joy': 0.6325681061294556, 'sadness': 0.7923195258903503, 'anger': 0.08032288686332703, 'fear': 0.26430730431289673, 'disgust': 0.0128404, 'surprise': 0.21188684105873107}","I'm so sorry to hear about your dad. It’s completely understandable to feel a mix of disbelief and sorrow right now. Losing someone so close can feel overwhelming. Take your time to process everything, and remember that it’s okay to feel however you’re feeling. If you’d like, I’m here to listen or talk about any memories you wish to share.",135,5.3e-05,60
1,"My dad passed away this morning. I still can't believe it. Like, I know it happened, but it doesn't feel real.",2️⃣ Array → LLM (Full emotion vector),joy,sadness,sadness,"{'sadness': 0.9423158764839172, 'joy': 0.9806255102157593, 'love': 0.13099405169487, 'anger': 0.07529547810554504, 'fear': 0.3527001738548279, 'surprise': 0.35314473509788513}","{'sadness': 0.567325, 'joy': 0.110482, 'fear': 0.131718, 'disgust': 0.032101, 'anger': 0.087864}","{'joy': 0.6325681061294556, 'sadness': 0.7923195258903503, 'anger': 0.08032288686332703, 'fear': 0.26430730431289673, 'disgust': 0.0128404, 'surprise': 0.21188684105873107}","I'm so sorry to hear about your dad's passing. It’s completely understandable to feel a mix of emotions right now, and it can be hard to process something so profound. Grief often comes in waves, and sometimes it feels surreal. Please know that it’s okay to take your time to feel what you’re feeling, and you don’t have to go through this alone. If you need someone to talk to, I’m here for you.",198,7e-05,74
1,"My dad passed away this morning. I still can't believe it. Like, I know it happened, but it doesn't feel real.",3️⃣ LLM Only (No rule-based input),joy,sadness,sadness,"{'sadness': 0.9423158764839172, 'joy': 0.9806255102157593, 'love': 0.13099405169487, 'anger': 0.07529547810554504, 'fear': 0.3527001738548279, 'surprise': 0.35314473509788513}","{'sadness': 0.567325, 'joy': 0.110482, 'fear': 0.131718, 'disgust': 0.032101, 'anger': 0.087864}","{'joy': 0.6325681061294556, 'sadness': 0.7923195258903503, 'anger': 0.08032288686332703, 'fear': 0.26430730431289673, 'disgust': 0.0128404, 'surprise': 0.21188684105873107}","I'm truly sorry to hear about your dad's passing. It’s completely understandable to feel this way—grief can be so overwhelming and confusing. If you'd like to talk about him or share how you're feeling, I'm here to listen. You're not alone in this.",110,4e-05,43
2,"He'd been sick for a while, but I thought we had more time. The doctors said he was stable just yesterday.",1️⃣ Rule → LLM (Emotion label only),joy,sadness,joy,"{'sadness': 0.5642220377922058, 'joy': 0.9903036952018738, 'love': 0.08167761564254761, 'anger': 0.18643350899219513, 'fear': 0.45283088088035583, 'surprise': 0.17662367224693298}","{'sadness': 0.442106, 'joy': 0.075602, 'fear': 0.303432, 'disgust': 0.046624, 'anger': 0.063637}","{'joy': 0.6244230171211242, 'sadness': 0.5153756226753234, 'anger': 0.13731490539531707, 'fear': 0.39307132852821347, 'disgust': 0.0186496, 'surprise': 0.10597420334815978}","I'm really sorry to hear that you were caught off guard by the suddenness of it all. It’s incredibly tough when things seem stable, and then everything changes so quickly. If you’d like to talk about how you’re feeling or share any memories of him, I’m here to listen.",227,6.1e-05,49
2,"He'd been sick for a while, but I thought we had more time. The doctors said he was stable just yesterday.",2️⃣ Array → LLM (Full emotion vector),joy,sadness,joy,"{'sadness': 0.5642220377922058, 'joy': 0.9903036952018738, 'love': 0.08167761564254761, 'anger': 0.18643350899219513, 'fear': 0.45283088088035583, 'surprise': 0.17662367224693298}","{'sadness': 0.442106, 'joy': 0.075602, 'fear': 0.303432, 'disgust': 0.046624, 'anger': 0.063637}","{'joy': 0.6244230171211242, 'sadness': 0.5153756226753234, 'anger': 0.13731490539531707, 'fear': 0.39307132852821347, 'disgust': 0.0186496, 'surprise': 0.10597420334815978}","I can’t imagine how difficult this must be for you. It’s incredibly hard to hear that someone you love is sick, and when you have hope for more time, it feels so shocking and unfair when things change quickly. That sense of disbelief is a natural response, especially after feeling reassured by the doctors. It's okay to feel a mix of sadness and confusion right now. If you want to share more about your dad or how you're feeling, I’m here to listen.",327,9.2e-05,83
2,"He'd been sick for a while, but I thought we had more time. The doctors said he was stable just yesterday.",3️⃣ LLM Only (No rule-based input),joy,sadness,joy,"{'sadness': 0.5642220377922058, 'joy': 0.9903036952018738, 'love': 0.08167761564254761, 'anger': 0.18643350899219513, 'fear': 0.45283088088035583, 'surprise': 0.17662367224693298}","{'sadness': 0.442106, 'joy': 0.075602, 'fear': 0.303432, 'disgust': 0.046624, 'anger': 0.063637}","{'joy': 0.6244230171211242, 'sadness': 0.5153756226753234, 'anger': 0.13731490539531707, 'fear': 0.39307132852821347, 'disgust': 0.0186496, 'surprise': 0.10597420334815978}","It sounds like you're feeling a mix of shock and disbelief, especially after hearing that he was stable just yesterday. It’s incredibly difficult to process such sudden news, particularly after holding onto hope for more time. If you want to talk about your dad or anything else that's on your mind, I'm here to support you.",206,5.9e-05,56
3,I keep expecting him to call me like he does every Sunday. I almost dialed his number before I remembered.,1️⃣ Rule → LLM (Emotion label only),fear,sadness,fear,"{'sadness': 0.34084081649780273, 'joy': 0.4833112955093384, 'love': 0.051943812519311905, 'anger': 0.5989295840263367, 'fear': 0.9787615537643433, 'surprise': 0.29662805795669556}","{'sadness': 0.572419, 'joy': 0.182229, 'fear': 0.049677, 'disgust': 0.024735, 'anger': 0.034424}","{'joy': 0.362878377305603, 'sadness': 0.4334720898986817, 'anger': 0.373127350415802, 'fear': 0.607127732258606, 'disgust': 0.009894, 'surprise': 0.17797683477401732}","That sounds really painful. It’s completely normal to feel that way, especially with routines like Sunday calls that carry so much connection and comfort. Those moments can really hit hard when you realize things have changed. It might help to talk about some of the memories you shared during those calls or how he made you feel. I'm here for you.",326,7.9e-05,61
3,I keep expecting him to call me like he does every Sunday. I almost dialed his number before I remembered.,2️⃣ Array → LLM (Full emotion vector),fear,sadness,fear,"{'sadness': 0.34084081649780273, 'joy': 0.4833112955093384, 'love': 0.051943812519311905, 'anger': 0.5989295840263367, 'fear': 0.9787615537643433, 'surprise': 0.29662805795669556}","{'sadness': 0.572419, 'joy': 0.182229, 'fear': 0.049677, 'disgust': 0.024735, 'anger': 0.034424}","{'joy': 0.362878377305603, 'sadness': 0.4334720898986817, 'anger': 0.373127350415802, 'fear': 0.607127732258606, 'disgust': 0.009894, 'surprise': 0.17797683477401732}","It’s completely natural to expect that familiar routine, especially when you’ve shared those moments together for so long. The longing to hear his voice can be so strong, and it must be incredibly painful to have that reminder of the connection you had. It’s okay to feel that sadness and the emptiness that comes with it. Remember, it’s all part of the process of grief. If you’d like, we can talk about some of your favorite memories with him.",452,0.00011,79
3,I keep expecting him to call me like he does every Sunday. I almost dialed his number before I remembered.,3️⃣ LLM Only (No rule-based input),fear,sadness,fear,"{'sadness': 0.34084081649780273, 'joy': 0.4833112955093384, 'love': 0.051943812519311905, 'anger': 0.5989295840263367, 'fear': 0.9787615537643433, 'surprise': 0.29662805795669556}","{'sadness': 0.572419, 'joy': 0.182229, 'fear': 0.049677, 'disgust': 0.024735, 'anger': 0.034424}","{'joy': 0.362878377305603, 'sadness': 0.4334720898986817, 'anger': 0.373127350415802, 'fear': 0.607127732258606, 'disgust': 0.009894, 'surprise': 0.17797683477401732}","It’s completely natural to feel that way, especially when you have that regular connection with him. Those routines can be so comforting, and suddenly losing that can create a deep sense of longing and confusion. It’s okay to miss him and to feel the weight of those moments. If you want to share more about your memories or how you're feeling, I'm here for you.",311,8e-05,65
4,My mom is in complete shock. She's just sitting in the living room staring at nothing. I don't know how to help her.,1️⃣ Rule → LLM (Emotion label only),fear,sadness,fear,"{'sadness': 0.1377834975719452, 'joy': 0.09829047322273254, 'love': 0.09466197341680527, 'anger': 0.3086227774620056, 'fear': 0.9940661191940308, 'surprise': 0.9004440307617188}","{'sadness': 0.317436, 'joy': 0.152549, 'fear': 0.284332, 'disgust': 0.038875, 'anger': 0.184508}","{'joy': 0.11999388393363952, 'sadness': 0.20964449854316713, 'anger': 0.25897686647720336, 'fear': 0.7101724715164184, 'disgust': 0.015550000000000001, 'surprise': 0.5402664184570313}","It’s understandable to feel helpless when you see someone you love in such pain. Shock can be a very disorienting experience, and everyone processes loss differently. Sometimes just being there for her can make a difference—sitting with her, offering a gentle presence, or even talking to her when she’s ready. It might also help to encourage her to talk to someone who can provide support, like a friend or a counselor. You’re doing the best you can, and it’s okay to feel uncertain about what to do. Just take it one step at a time.",475,0.000123,95
