Turn,User_Message,Mode,HF_Label,IBM_Label,Final_Label,Bot_Response,Tokens_Used,Cost_USD,Response_Words,HF_joy,HF_sadness,HF_anger,HF_fear,HF_disgust,HF_surprise,IBM_joy,IBM_sadness,IBM_anger,IBM_fear,IBM_disgust,IBM_surprise,Merged_joy,Merged_sadness,Merged_anger,Merged_fear,Merged_disgust,Merged_surprise
1,I have to tell you - I just got my dream job offer! I literally screamed when I opened the email!,1️⃣ Rule → LLM (Emotion label only),anger,joy,anger,That’s absolutely amazing! I can feel the excitement in your words! It’s such a huge accomplishment to land your dream job. How did you celebrate?,91,2.8e-05,25,0.20249146223068237,0.09040537476539612,0.9921606183052063,0.8184403777122498,0,0.21390806138515472,0.447812,0.339513,0.110416,0.069541,0.018682,0,0.30061967733840944,0.19004842485923767,0.6394627709831238,0.5188806266273498,0.007472800000000001,0.12834483683109282
2,I have to tell you - I just got my dream job offer! I literally screamed when I opened the email!,2️⃣ Array → LLM (Full emotion vector),anger,joy,anger,"Wow, that's amazing news! 🎉 I can feel your excitement just through your words! It’s completely understandable that you screamed with joy when you saw the offer—such moments are worth celebrating! How are you feeling about this incredible opportunity?",153,4.5e-05,39,0.20249146223068237,0.09040537476539612,0.9921606183052063,0.8184403777122498,0,0.21390806138515472,0.447812,0.339513,0.110416,0.069541,0.018682,0,0.30061967733840944,0.19004842485923767,0.6394627709831238,0.5188806266273498,0.007472800000000001,0.12834483683109282
3,I have to tell you - I just got my dream job offer! I literally screamed when I opened the email!,3️⃣ LLM Only (No rule-based input),anger,joy,anger,"Wow, that’s amazing! I can feel your excitement through your words! Congratulations on achieving your dream job! How are you planning to celebrate?",83,2.5e-05,23,0.20249146223068237,0.09040537476539612,0.9921606183052063,0.8184403777122498,0,0.21390806138515472,0.447812,0.339513,0.110416,0.069541,0.018682,0,0.30061967733840944,0.19004842485923767,0.6394627709831238,0.5188806266273498,0.007472800000000001,0.12834483683109282
4,I can't believe it's finally happening. I've been working toward this for so long.,1️⃣ Rule → LLM (Emotion label only),joy,sadness,joy,It’s incredible to hear that all your hard work has paid off! You truly deserve this moment of joy. What are you most looking forward to in your new role?,149,3.8e-05,30,0.9980373978614807,0.2985307276248932,0.06487691402435303,0.1971357762813568,0,0.47193145751953125,0.236313,0.292299,0.065291,0.092087,0.016148,0,0.6933476387168884,0.2960380365749359,0.06504254841461182,0.1551162657688141,0.0064592,0.28315887451171873
5,I can't believe it's finally happening. I've been working toward this for so long.,2️⃣ Array → LLM (Full emotion vector),joy,sadness,joy,"I can only imagine how joyous and surreal this moment must feel for you! It’s truly incredible to see your hard work and dedication pay off. You’ve put in so much effort, and now it’s all coming together. This is a huge milestone, and you deserve every bit of success that comes your way. How do you plan to celebrate this fantastic achievement?",250,7e-05,63,0.9980373978614807,0.2985307276248932,0.06487691402435303,0.1971357762813568,0,0.47193145751953125,0.236313,0.292299,0.065291,0.092087,0.016148,0,0.6933476387168884,0.2960380365749359,0.06504254841461182,0.1551162657688141,0.0064592,0.28315887451171873
6,I can't believe it's finally happening. I've been working toward this for so long.,3️⃣ LLM Only (No rule-based input),joy,sadness,joy,"It sounds like you're feeling a mix of disbelief and joy right now, and that's completely understandable! All your hard work has truly paid off, and this moment must feel incredible for you. How are you planning to celebrate this milestone?",153,4.4e-05,41,0.9980373978614807,0.2985307276248932,0.06487691402435303,0.1971357762813568,0,0.47193145751953125,0.236313,0.292299,0.065291,0.092087,0.016148,0,0.6933476387168884,0.2960380365749359,0.06504254841461182,0.1551162657688141,0.0064592,0.28315887451171873
7,"All the rejections, all the hard work, all the doubts - they were all worth it.",1️⃣ Rule → LLM (Emotion label only),joy,sadness,joy,Absolutely! Every step of the journey has led you to this amazing moment. It’s inspiring to see your perseverance pay off. You should be incredibly proud of yourself for pushing through the tough times. How are you planning to embrace this new chapter?,226,5.6e-05,43,0.9973012804985046,0.4097985625267029,0.13277782499790192,0.08747080713510513,0,0.09214460849761963,0.081059,0.726137,0.053289,0.097473,0.005967,0,0.6308043682991028,0.5363339375160218,0.10098229499874115,0.09147168428106309,0.0023868,0.05528676509857178
8,"All the rejections, all the hard work, all the doubts - they were all worth it.",2️⃣ Array → LLM (Full emotion vector),joy,sadness,joy,"Absolutely, it sounds like every setback and moment of uncertainty has brought you to this incredible point. It’s completely natural to feel a mix of emotions after such a long journey, but your perseverance has truly paid off. You’ve shown resilience, and that’s something to be proud of. Take a moment to acknowledge how far you’ve come, and let this achievement motivate you even further on your journey. What are you most looking forward to in your new role?",370,9.7e-05,79,0.9973012804985046,0.4097985625267029,0.13277782499790192,0.08747080713510513,0,0.09214460849761963,0.081059,0.726137,0.053289,0.097473,0.005967,0,0.6308043682991028,0.5363339375160218,0.10098229499874115,0.09147168428106309,0.0023868,0.05528676509857178
9,"All the rejections, all the hard work, all the doubts - they were all worth it.",3️⃣ LLM Only (No rule-based input),joy,sadness,joy,It sounds like you're feeling a deep sense of accomplishment and relief after a long journey. It’s clear that you’ve put in a tremendous amount of effort and faced challenges along the way. You should be really proud of yourself for persevering and reaching this moment! How does it feel to finally see your dreams coming to fruition?,246,6.6e-05,58,0.9973012804985046,0.4097985625267029,0.13277782499790192,0.08747080713510513,0,0.09214460849761963,0.081059,0.726137,0.053289,0.097473,0.005967,0,0.6308043682991028,0.5363339375160218,0.10098229499874115,0.09147168428106309,0.0023868,0.05528676509857178
10,And that's not even the best part. I also scored 95% on my final exam! I thought I was going to fail.,1️⃣ Rule → LLM (Emotion label only),fear,sadness,fear,"Wow, that’s an incredible achievement! Scoring 95% on your final exam is something to be really proud of, especially when you were feeling uncertain. It’s completely normal to feel fear and doubt, but you’ve proven to yourself that you can overcome those feelings. How are you feeling about it all now?",325,7.8e-05,51,0.8121297955513,0.2731022536754608,0.7854506969451904,0.8981387615203857,0,0.2243989259004593,0.196718,0.373124,0.083678,0.128601,0.025057,0,0.56596507733078,0.3131109522052765,0.5047416181671143,0.5903236569122314,0.0100228,0.13463935554027556
11,And that's not even the best part. I also scored 95% on my final exam! I thought I was going to fail.,2️⃣ Array → LLM (Full emotion vector),fear,sadness,fear,"Wow, that’s absolutely fantastic! Scoring 95% on your final exam is an incredible achievement, especially after all the hard work and worry you put into it. It’s completely understandable to have felt nervous about the outcome, but you crushed it! It’s like everything is falling into place for you right now. How are you feeling about that success, in addition to your new job offer?",485,0.000109,65,0.8121297955513,0.2731022536754608,0.7854506969451904,0.8981387615203857,0,0.2243989259004593,0.196718,0.373124,0.083678,0.128601,0.025057,0,0.56596507733078,0.3131109522052765,0.5047416181671143,0.5903236569122314,0.0100228,0.13463935554027556
12,And that's not even the best part. I also scored 95% on my final exam! I thought I was going to fail.,3️⃣ LLM Only (No rule-based input),fear,sadness,fear,"Wow, that’s incredible! It sounds like you’ve had an amazing week filled with achievements! Scoring 95% on your final exam after all the uncertainty is such a fantastic accomplishment. You must feel so relieved and proud of yourself right now. How are you planning to celebrate both your job offer and your exam success?",346,8.1e-05,54,0.8121297955513,0.2731022536754608,0.7854506969451904,0.8981387615203857,0,0.2243989259004593,0.196718,0.373124,0.083678,0.128601,0.025057,0,0.56596507733078,0.3131109522052765,0.5047416181671143,0.5903236569122314,0.0100228,0.13463935554027556
13,My project got approved by the boss today too. She said it was the best work she's seen this quarter!,1️⃣ Rule → LLM (Emotion label only),joy,joy,joy,"That’s fantastic news! It must feel amazing to have your hard work recognized like that. Getting approval from your boss, especially with such high praise, is a huge accomplishment! How are you celebrating this success?",397,7.8e-05,35,0.9970508813858032,0.22485020756721497,0.504481852054596,0.07028667628765106,0,0.15492643415927887,0.509756,0.129682,0.067105,0.100919,0.037112,0,0.8021329288314819,0.18678292454032897,0.3295311112327575,0.08253960577259065,0.0148448,0.09295586049556732
14,My project got approved by the boss today too. She said it was the best work she's seen this quarter!,2️⃣ Array → LLM (Full emotion vector),joy,joy,joy,That’s absolutely wonderful news! 🎉 It sounds like everything is aligning perfectly for you right now! Getting your project approved and receiving such high praise from your boss is a huge accomplishment. You must feel so proud! All your hard work and dedication is really shining through. How are you planning to celebrate these amazing victories?,579,0.000116,56,0.9970508813858032,0.22485020756721497,0.504481852054596,0.07028667628765106,0,0.15492643415927887,0.509756,0.129682,0.067105,0.100919,0.037112,0,0.8021329288314819,0.18678292454032897,0.3295311112327575,0.08253960577259065,0.0148448,0.09295586049556732
15,My project got approved by the boss today too. She said it was the best work she's seen this quarter!,3️⃣ LLM Only (No rule-based input),joy,joy,joy,"That’s fantastic news! It sounds like you’ve not only achieved your dream job and excelled in your exam, but also made a significant impact with your project! Receiving such positive feedback from your boss must feel incredibly rewarding. You truly have so much to celebrate right now! How are you planning to carry this momentum forward?",441,9.5e-05,56,0.9970508813858032,0.22485020756721497,0.504481852054596,0.07028667628765106,0,0.15492643415927887,0.509756,0.129682,0.067105,0.100919,0.037112,0,0.8021329288314819,0.18678292454032897,0.3295311112327575,0.08253960577259065,0.0148448,0.09295586049556732
16,Everyone at work is congratulating me. It feels amazing to finally get recognition.,1️⃣ Rule → LLM (Emotion label only),joy,joy,joy,That’s wonderful to hear! It must feel so rewarding to be acknowledged for your efforts. It sounds like your hard work is truly paying off. How are you planning to soak in all that positive energy from your colleagues?,465,9e-05,39,0.9884983897209167,0.12096766382455826,0.10028903186321259,0.2439795434474945,0,0.9411028623580933,0.721365,0.229368,0.026331,0.030871,0.002808,0,0.8816450338325501,0.16432779829473496,0.07070581911792755,0.1587361260684967,0.0011232000000000002,0.5646617174148559
17,Everyone at work is congratulating me. It feels amazing to finally get recognition.,2️⃣ Array → LLM (Full emotion vector),joy,joy,joy,"That's fantastic to hear! 🎉 It must feel incredible to receive all that recognition from your colleagues. You’ve worked so hard, and it’s wonderful to see your efforts acknowledged. You truly deserve this celebration of your achievements! How are you soaking in all the positive vibes from your team?",661,0.000125,49,0.9884983897209167,0.12096766382455826,0.10028903186321259,0.2439795434474945,0,0.9411028623580933,0.721365,0.229368,0.026331,0.030871,0.002808,0,0.8816450338325501,0.16432779829473496,0.07070581911792755,0.1587361260684967,0.0011232000000000002,0.5646617174148559
18,Everyone at work is congratulating me. It feels amazing to finally get recognition.,3️⃣ LLM Only (No rule-based input),joy,joy,joy,"I’m so happy to hear that you’re receiving recognition for your hard work! It’s such a fulfilling feeling to have your efforts acknowledged by others. You deserve all the praise, and it sounds like a wonderful moment for you! How are you feeling about all the congratulations?",520,0.000103,47,0.9884983897209167,0.12096766382455826,0.10028903186321259,0.2439795434474945,0,0.9411028623580933,0.721365,0.229368,0.026331,0.030871,0.002808,0,0.8816450338325501,0.16432779829473496,0.07070581911792755,0.1587361260684967,0.0011232000000000002,0.5646617174148559
19,I just achieved my fitness goal too! I ran my first 5K without stopping,1️⃣ Rule → LLM (Emotion label only),joy,joy,joy,That’s incredible! Running your first 5K without stopping is such a fantastic achievement! You must be feeling so proud of yourself. How did it feel to cross that finish line?,528,9.6e-05,30,0.9975322484970093,0.2714168131351471,0.2776680886745453,0.19241878390312195,0,0.174393892288208,0.517161,0.087467,0.041125,0.31096,0.027982,0,0.8053837490982056,0.19783688788108827,0.18305085320472717,0.23983527034187319,0.011192800000000001,0.1046363353729248
20,I just achieved my fitness goal too! I ran my first 5K without stopping,2️⃣ Array → LLM (Full emotion vector),joy,joy,joy,"Oh wow, that’s absolutely amazing! 🎉 Completing your first 5K without stopping is such a monumental achievement! You should feel so proud of yourself for hitting that fitness goal. It takes a lot of determination and perseverance to push through, and you did it! How are you celebrating this incredible milestone?",749,0.00014,51,0.9975322484970093,0.2714168131351471,0.2776680886745453,0.19241878390312195,0,0.174393892288208,0.517161,0.087467,0.041125,0.31096,0.027982,0,0.8053837490982056,0.19783688788108827,0.18305085320472717,0.23983527034187319,0.011192800000000001,0.1046363353729248
21,I just achieved my fitness goal too! I ran my first 5K without stopping,3️⃣ LLM Only (No rule-based input),joy,joy,joy,That’s fantastic! Congratulations on achieving your fitness goal! Running your first 5K without stopping is a huge accomplishment and a testament to your hard work and determination. How are you feeling about this achievement?,587,0.000106,34,0.9975322484970093,0.2714168131351471,0.2776680886745453,0.19241878390312195,0,0.174393892288208,0.517161,0.087467,0.041125,0.31096,0.027982,0,0.8053837490982056,0.19783688788108827,0.18305085320472717,0.23983527034187319,0.011192800000000001,0.1046363353729248
22,I proved all the people who doubted me completely wrong. They said I couldn't do it.,1️⃣ Rule → LLM (Emotion label only),anger,sadness,sadness,"It sounds like you’ve overcome some tough challenges, and that’s truly commendable. It’s understandable to feel a mix of emotions when you prove people wrong, especially if their doubts weighed heavily on you. Remember, your journey is a testament to your strength and resilience. How are you feeling about everything now?",616,0.00012,51,0.7527613043785095,0.622145414352417,0.8790809512138367,0.7216042280197144,0,0.06626152992248535,0.024572,0.611321,0.162658,0.093918,0.078971,0,0.4614855826271057,0.6178156486114502,0.592511770728302,0.47052973681182864,0.0315884,0.03975691795349121
23,I proved all the people who doubted me completely wrong. They said I couldn't do it.,2️⃣ Array → LLM (Full emotion vector),anger,sadness,sadness,"I can feel the strength in your words! It’s such a powerful feeling to prove doubters wrong and show them what you’re capable of. You’ve worked hard and overcome obstacles, and now you have tangible proof of your success. It’s not just about achieving your goals; it’s about silencing negativity and believing in yourself. That’s truly inspiring! How do you feel now that you’ve shown everyone what you can do?",862,0.000168,70,0.7527613043785095,0.622145414352417,0.8790809512138367,0.7216042280197144,0,0.06626152992248535,0.024572,0.611321,0.162658,0.093918,0.078971,0,0.4614855826271057,0.6178156486114502,0.592511770728302,0.47052973681182864,0.0315884,0.03975691795349121
24,I proved all the people who doubted me completely wrong. They said I couldn't do it.,3️⃣ LLM Only (No rule-based input),anger,sadness,sadness,"That’s such a powerful feeling! It must be incredibly satisfying to have shown everyone that you can achieve your goals despite their doubts. You’ve demonstrated resilience and determination, and you have every right to feel proud of yourself! How does it feel to have proven them wrong?",667,0.000124,47,0.7527613043785095,0.622145414352417,0.8790809512138367,0.7216042280197144,0,0.06626152992248535,0.024572,0.611321,0.162658,0.093918,0.078971,0,0.4614855826271057,0.6178156486114502,0.592511770728302,0.47052973681182864,0.0315884,0.03975691795349121
25,My family is celebrating with me tonight. They're so proud of me.,1️⃣ Rule → LLM (Emotion label only),joy,joy,joy,That’s fantastic! It’s wonderful to have that support and celebration with your family. Sharing these joyful moments with loved ones makes them even more special. Enjoy the celebration—you deserve every bit of happiness! What do you think you’ll do together to celebrate?,689,0.000126,42,0.9991165995597839,0.23303651809692383,0.1434943825006485,0.07585769891738892,0,0.16744489967823029,0.964031,0.049776,0.021011,0.020674,0.011633,0,0.9850823597358704,0.15973231085815429,0.0945010295003891,0.05378421935043335,0.0046532,0.10046693980693817
26,My family is celebrating with me tonight. They're so proud of me.,2️⃣ Array → LLM (Full emotion vector),joy,joy,joy,"That’s wonderful to hear! 🎉 It must feel amazing to share your achievements with your family, especially when they’re so proud of you. Having their support during this time of celebration makes everything even more special. It sounds like it’s going to be a very joyful night filled with love and recognition for all that you’ve accomplished! How are you planning to celebrate together?",959,0.000178,64,0.9991165995597839,0.23303651809692383,0.1434943825006485,0.07585769891738892,0,0.16744489967823029,0.964031,0.049776,0.021011,0.020674,0.011633,0,0.9850823597358704,0.15973231085815429,0.0945010295003891,0.05378421935043335,0.0046532,0.10046693980693817
27,My family is celebrating with me tonight. They're so proud of me.,3️⃣ LLM Only (No rule-based input),joy,joy,joy,That’s wonderful to hear! It must feel so special to have your family celebrating your achievements with you. Their pride and support can make these moments even more meaningful. How are you feeling about celebrating with them?,731,0.000129,37,0.9991165995597839,0.23303651809692383,0.1434943825006485,0.07585769891738892,0,0.16744489967823029,0.964031,0.049776,0.021011,0.020674,0.011633,0,0.9850823597358704,0.15973231085815429,0.0945010295003891,0.05378421935043335,0.0046532,0.10046693980693817
